id,idno,instrument_name,universe,unit_of_analysis,data_kind,authoring_entity_detail,study_type,study_scope,source
9630,BWA_2019_AFB-R8_v01_M,"Afrobarometer Survey 2019, Round 8",Citizens of Botswana who are 18 years and older.,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9630
9685,GHA_2019_AFB-R8_v01_M,"Afrobarometer Survey 2019, Round 8",Citizens of Ghana who are 18 years and older.,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9685
9705,KEN_2019_AFB-R8_v01_M,"Afrobarometer Survey 2019, Round 8",Citizens of Kenya who are 18 years and older.,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9705
9753,NAM_2019_AFB-R8_v01_M,"Afrobarometer Survey 2019, Round 8",Citizens of Namibia who are 18 years and older.,Individual,Sample survey data [ssd],"Ghana Centre for Democratic Development (CDD), Institute for Justice and Reconciliation in South Africa (IJR), Institute for Empirical Research in Political Economy (IREEP), Institute for Development Studies (IDS), Michigan State University (MSU), University of Cape Town (UCT, South Africa)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9753
7211,NPL_2012_AHS_v01_M,Annual Household Survey 2012-2013,"- All households in the country determined on the basis of the usual place of their residence (de jure househols).  The households of diplomatic missions, the institutional households (like people living in schools hostels, prisons, army camps and hospitals) were excluded from the survey. 
-  All persons aged 5 years and above household members.",Household and Induvisual,Sample survey data [ssd],"Central Bureau of Statistics (National Planning Commission Secretariat, Government of Nepal)",Other Household Survey [hh/oth],"The AHS survey is primarily focused on two basic indicators,  household consumption aggregate and current labour force. Mainly survey includes :

1.Demography : Average household size, dependency ratio, sex ratio , Dependency ratio in urban areas,  female household head.
2.Housing Facilities: Average number of rooms, main source of drinking water,  source of lighting , access to mobile, toilet facilities, Households with sanitation management
3.Literacy: Literacy rate of population, adult literacy, Male literacy, Female literacy  
4.Consumption: Household per capita mean consumption
5.Employment: Labour force participation rate,unemployment rate etc",https://catalog.ihsn.org/catalog/7211
10662,CMR_2020_SEIC-MAY_v01_M,Assessment on the Socioeconomic Impact of COVID-19 on Central African Refugees - East (May 2020),"Refugees, Host communities",Household,Sample survey data [ssd],UNHCR,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/10662
11230,ETH_2016_UNJP-RWEE_v01_M_v01_A_OCS,Baseline Survey for the Impact Evaluation of the UN Joint Program Rural Women Economic Empowerment in Ethiopia 2016,NA,Households,Sample survey data [ssd],"Ana Paula de la O Campos (Food and Agriculture Organization), Susan Kaaria (Food and Agriculture Organization)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/11230
9467,LBN_2020_BPS-W1_v01_M,"Beirut Perception Survey Wave I, 2020",NA,NA,Sample survey data [ssd],"The Mind, Behavior, and Development Unit (eMBeD) (The World Bank Group)",NA,NA,https://catalog.ihsn.org/catalog/9467
11229,CMR_2013_BCFPCNW_v01_M_v01_A_OCS,Biodiversity and Complementary Feeding Practices of Children in The North West Region of Cameroon 2013,NA,Individuals,Sample survey data [ssd],"Ghent University, Belgium",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/11229
6311,BGR_2013_BLISS_v01_M,Bulgarian Longitudinal Inclusive Society Survey 2013,NA,"- households,
- individuals",Sample survey data [ssd],"Open Society Institute-Sofia, World Bank",Other Household Survey [hh/oth],"The scope of the study includes: 
- demographic characteristics of household members,
- labor,
- housing,
- assets,
- social assistance
- unemployment,
- active labor market programs,
- social protection,
- other income,
- credit,
- subjective questions,
- attitudes,
- personality and behavior,
- computer skills,
- memory,
- language skills,
- quantitative skills",https://catalog.ihsn.org/catalog/6311
10668,COD_2021_BPDM-CBI-JAN_v01_M,Bunia Post-Distribution Monitoring for Cash-Based Intervention - Jan 2021,NA,household,NA,UNHCR,NA,NA,https://catalog.ihsn.org/catalog/10668
6547,MOZ_2015_SHS_v01_M,CGAP Smallholder Household Survey 2015,"The universe for the survey consists of smallholder households defined as households with the following criteria: 
1) Household with up to 5 hectares OR farmers who have less than 50 heads of cattle, 100 goats/sheep/pigs, or 1,000 chickens; AND 
2) Agriculture provides a meaningful contribution to the household livelihood, income, or consumption.",Households and individual household members,Sample survey data [ssd],Jamie Anderson (The World Bank (GFMGP - CGAP)),Other Household Survey,"The CGAP national surveys of smallholder households used three questionnaires:  (1) household questionnaire, (2) multiple respondent questionnaire, and (3) single respondent questionnaire.  

1. Household questionnaire
Respondent: Head of the household, their spouse, or a knowledgeable adult
Content: Basic information on all household members (e.g. age, gender, education attainment, schooling status) and information about household assets and dwelling characteristics in order to derive poverty status.

2. Multiple respondent questionnaire
Respondents: All household members over 15 years old who contributed to the household income and/or participated in its agricultural activities
Content: Demographics (e.g. land size, crop and livestock, decision-making, associations and markets, financial behaviors), agricultural activities (e.g. selling, trading, consuming crops, livestock, suppliers), and household economics (e.g., employment, income sources, expenses, shocks, borrowing, saving habits, investments).

3. Single respondent questionnaire
Respondent: One randomly-selected adult in the household
Content: Agricultural activities (e.g. market relationships, storage, risk mitigation), household economics (e.g. expense prioritization, insurance, financial outlook), mobile phones (e.g., usage, access, ownership, desire and importance), and formal and informal financial tools (e.g., ownership, usage, access, importance, attitudes toward financial service providers).",https://catalog.ihsn.org/catalog/6547
7104,BGD_2016_SHS_v01_M,CGAP Smallholder Household Survey 2016,"The universe for the survey consists of smallholder households defined as households with the following criteria: 1) Household with up to 5 hectares OR farmers who have less than 50 heads of cattle, 100 goats/sheep/pigs, or 1,000 chickens; AND 2) Agriculture provides a meaningful contribution to the household livelihood, income, or consumption.",Households and individual household members,Sample survey data [ssd],Jamie Anderson (Consultative Group to Assist the Poor (CGAP)- World Bank Group),Other Household Survey,"The smallholder household survey used three questionnaires:  household questionnaire, multiple respondent questionnaire and single respondent questionnaire.  

1. Household questionnaire
Respondent: Head of the household, their spouse or a knowledgeable adult household member
Content: list of all household members and their basic characteristics (age, gender, education attainment, schooling status, relationship with the household head), and information about household assets and dwelling characteristics in order to drive poverty status.

2. Multiple respondent questionnaire
Respondents: All household members aged 15 and over who contribute to the household income or participate in its agricultural activities
Content: Demographics (e.g. land size, crop and livestock, decision-making, associations and markets, financial behaviors), agricultural activities (e.g. selling, trading, consuming crops, livestock, suppliers), and household economics (e.g., employment, income sources, expenses, shocks, borrowing, saving habits, investments).

3. Single respondent questionnaire
Respondent: One randomly-selected adult in the household among household members who contribute to the household income or participate in its agricultural activities.  
Content: Agricultural activities (e.g. market relationships, storage, risk mitigation), household economics (e.g. expense prioritization, insurance, financial outlook), mobile phones (e.g., usage, access, ownership, desire and importance), and formal and informal financial tools (e.g., ownership, usage, access, importance, attitudes toward financial service providers).

Following the pretest of the questionnaires, debriefing sessions were held with the pretest field staff and the questionnaires were modified based on the observations from the pretest. After the questionnaires were finalized, a script was developed to support data collection on smart phones. The script was tested and validated before it was used in the field.",https://catalog.ihsn.org/catalog/7104
8479,TZA_2016_SHS_v01_M,"CGAP Smallholder Household Survey 2016, Building the Evidence Base on the Agricultural and Financial Lives of Smallholder Households","The universe for the survey consists of smallholder households defined as households with the following criteria: 
1) Household with up to 5 hectares OR farmers who have less than 50 heads of cattle, 100 goats/sheep/pigs, or 1,000 chickens; AND
2) Agriculture provides a meaningful contribution to the household livelihood, income, or consumption.",Households and individual household members,Sample survey data [ssd],Jamie Anderson (The World Bank (GFMGP - CGAP)),Other Household Survey,NA,https://catalog.ihsn.org/catalog/8479
9536,TCD_2020_HFPS_v03_M,COVID-19 High Frequency Phone Survey 2020,"The survey covered only households of the 2018/19 Enquête sur la Consommation des Ménages et le Secteur Informel au Tchad (ECOSIT 4) which excluded populations in prisons, hospitals, military barracks, and school dormitories.","- Households
- Individuals",Sample survey data [ssd],"Institut National de la Statistique, des Etudes Economiques et Démographiques (INSEED) (Gouvernement du Tchad)",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9536
9740,MMR_2020_HFPS_v01_M,COVID-19 High Frequency Phone Survey 2020-2021,The universe for this survey is the whole population in Myanmar. The sample frame used was an existing list of phone numbers provided by the firm collecting the data.,"- Household
- Individual",Sample survey data [ssd],World Bank,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9740
10325,BRA_2021_HFPS_v02_M,COVID-19 High Frequency Phone Survey 2021,"Households with a landline or in which at least one member has a cell phone, and individuals 18 years of age or above who have an active cell phone number or a landline at home.",Households and individuals of 18 years of age and older.,Sample survey data [ssd],"Gabriel Lara Ibarra (World Bank Group), Anna Luisa Paffhausen (World Bank Group), Ricardo Campante Cardoso Vale (World Bank Group), Carolina Mejia-Mantilla (World Bank Group), Adriana Camacho (United Nations Development Programme), Javier Romero (World Bank Group)",Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/10325
9897,ETH_2020_HFPS_v01_M_v01_A_COVID,COVID-19 High Frequency Phone Survey of Households 2020 - World Bank LSMS Harmonized Dataset,"The survey covered all de jure households excluding prisons, hospitals, military barracks, and school dormitories.","- Households
- Individuals",Sample survey data [ssd],Central Statistics Agency of Ethiopia (Government of Ethiopia),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9897
8563,VNM_2020_HFPS-R1_v01_M,"COVID-19 High Frequency Phone Survey of Households 2020, Round 1",NA,Households,Sample survey data [ssd],World Bank,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/8563
9813,VNM_2020_HFPS-R2_v01_M,"COVID-19 High Frequency Phone Survey of Households 2020, Round 2",NA,Households,Sample survey data [ssd],World Bank,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9813
9814,VNM_2020_HFPS-R3_v01_M,"COVID-19 High Frequency Phone Survey of Households 2020, Round 3",NA,Households,Sample survey data [ssd],World Bank,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9814
9580,KHM_2020_HFPS-IDP_v04_M,COVID-19 High Frequency Phone Survey of Households 2020-2022,"The survey covered all de jure households (with a phone number) excluding prisons, hospitals, military barracks, and school dormitories.","- Households
- Individuals",Sample survey data [ssd],World Bank Group,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9580
9581,KHM_2020_HFPS-LSMS_v04_M,"COVID-19 High Frequency Phone Survey of Households 2020-2022, CSES","The survey covered all de jure households (with a phone number) excluding prisons, hospitals, military barracks, and school dormitories.","- Households
- Individuals",Sample survey data [ssd],World Bank Group,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9581
9815,VNM_2021_HFPS-R4_v01_M,"COVID-19 High Frequency Phone Survey of Households 2021, Round 4",NA,Households,Sample survey data [ssd],World Bank,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9815
10305,VNM_2021_HFPS-R5_v01_M,"COVID-19 High Frequency Phone Survey of Households 2021, Round 5",NA,Households,Sample survey data [ssd],World Bank,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/10305
9608,ARG_2020_HFPS_v01_M,COVID-19 High Frequency Phone Surveys 2020,"Households with a landline or in which at least one member has a cell phone, and individuals 18 years of age or above who have an active cell phone number or a landline at home.",Households and individuals of 18 years of age and older.,Sample survey data [ssd],"Sergio Olivieri (World Bank), Gabriel Lara Ibarra (World Bank), Jose Antonio Cuesta Leiva (World Bank)",Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9608
9665,ECU_2020_HFPS_v01_M,COVID-19 High Frequency Phone Surveys 2020,"Households with a landline or in which at least one member has a cell phone, and individuals 18 years of age or above who have an active cell phone number or a landline at home. For Ecuador, Venezuelan households and people, provided they meet the previous requirements.",Households and individuals of 18 years of age and older.,Sample survey data [ssd],"Sergio Olivieri (World Bank), Gabriel Lara Ibarra (World Bank), Jose Antonio Cuesta Leiva (World Bank)",Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9665
9560,GEO_2020-2022_HFS_v07_M,COVID-19 High Frequency Survey 2020-2022,NA,"Household, Individual (adult over age 18)",Sample survey data [ssd],Caucasus Research Resource Centers (CRRC),Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9560
9573,ARM_2020_HFPS_v03_M,"COVID-19 High Frequency Survey of Households and Children 2020-2021, Waves 1 and 2",NA,"Survey I: Household and adult over age of 18; 
Survey II: Household with children;
Survey III: Household and adult over age of 18; households with migrants;
Survey IV: Household and adult over age of 18; households with children",Sample survey data [ssd],"United Nations Children's Fund (United Nations), Poverty and Equity Global Practice (The World Bank Group), Social Protection and Jobs Global Practice (The World Bank Group)",Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9573
9866,ZMB_2020_HMPS_v01_M,"COVID-19 Household Monitoring Phone Survey 2020, Round 1",NA,NA,Sample survey data [ssd],Poverty and Equity Global Practice (World Bank Group),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9866
10300,PHL_2020-2021_HFPS_v01_M,COVID-19 Households Survey 2020-2021,NA,"Household, individuals",Sample survey data [ssd],World Bank,Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/10300
9578,NGA_2020_NLPS_v01_M_v02_A_COVID,COVID-19 National Longitudinal Phone Survey 2020 – World Bank LSMS Harmonized Dataset,"The survey covered all de jure households excluding prisons, hospitals, military barracks, and school dormitories.","- Households
- Individuals",Sample survey data [ssd],National Bureau of Statistics (NBS) (Federal Government of Nigeria),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9578
8517,NGA_2020_NLPS_v12_M,"COVID-19 National Longitudinal Phone Survey 2020-2021, Phase 1","The survey covered all de jure households excluding prisons, hospitals, military barracks, and school dormitories.","- Households
- Individuals",Sample survey data [ssd],National Bureau of Statistics (NBS) (Federal Government of Nigeria),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/8517
8531,DJI_2020_CNPPS-W1_v01_M,"COVID-19 National Panel Phone Survey 2020, Wave 1","The survey covers households that reported telephone numbers, are included in the social registry data collected by the Ministry of Social Affairs and Solidarity (MASS) and have been interviewed after 2017. Refugees are excluded from this first round.","- Household
- Individual",Sample survey data [ssd],Poverty and Equity Global Practice (The World Bank),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/8531
9574,DJI_2020_CNPPS-W2_v01_M,"COVID-19 National Panel Phone Survey 2020, Wave 2","The survey covers households that reported telephone numbers, are included in the social registry data collected by the Ministry of Social Affairs and Solidarity (MASS) and have been interviewed after 2017. Refugees are excluded from this first round.","- Household
- Individual",Sample survey data [ssd],Poverty and Equity GP (The World Bank),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9574
9662,DJI_2020_CNPPS-W3_v01_M,"COVID-19 National Panel Phone Survey 2020, Wave 3","The survey covers national households that reported telephone numbers, are included in the social registry data collected by the Ministry of Social Affairs and Solidarity (MASS) and have been interviewed after 2017.","- Household
- Individual",Sample survey data [ssd],Poverty and Equity GP (World Bank),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9662
9894,DJI_2020_CNPPS-W3-ECV_v01_M,"COVID-19 National Panel Phone Survey 2020, Wave 3 - Refugee Sample","For the refugee sample, the survey covers households from the sample of the Refugee Survey collected in 2019 by INSD jointly with MASS, World Food Program (WFP) and United Nations High Commissioner for Refugees (UNHCR) through face-to-face interviews. The resultant refugee sample of the COVID-19 Phone Survey only includes households who had a phone number, and have responded to the survey.","- Household
- Individual",Sample survey data [ssd],Poverty and Equity Global Practice (World Bank),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9894
8519,MLI_2020_HFPS_v05_M,COVID-19 Panel Phone Survey of Households 2020,"The survey covered only households of the 2018/19 survey which excluded populations in prisons, hospitals, military barracks, and school dormitories.","- Households
- Individuals",Sample survey data [ssd],Institut National de la Statistique (INSTAT) (Gouvernement du Mali),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/8519
9466,IND_2020_COVIDRS-R1_v01_M,"COVID-19 Related Shocks Survey in Rural India 2020, Round 1",NA,Household,Sample survey data [ssd],World Bank,Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9466
9906,SOM_2020_HFPS_v02_M,COVID-19 Somali High-Frequency Phone Survey 2020-2021,Households with access to phones.,- Households,Sample survey data [ssd],"Wendy Karamba, World Bank (IBRD)",Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9906
9884,WLD_2020_CTIS_v01_M,COVID-19 Trends and Impact Survey (2020-Ongoing),The survey was fielded to active Facebook users ages 18 and above.,"- Public Aggregate Data: Subnational levels
- Microdata through Facebook Data for Good program: Individual level",Sample survey data [ssd],"Facebook Data for Good, Carnegie Mellon University, University of Maryland",NA,NA,https://catalog.ihsn.org/catalog/9884
9473,IND_2020_COVIDRS-R2_v01_M,"COVID-19-Related Shocks in Rural India 2020, Round 2",NA,Household,Sample survey data [ssd],World Bank,Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9473
9251,BGD_2019_CITY_v01_M,"Chattogram Low Income Area Gender, Inclusion, and Poverty Survey 2019",NA,"Household, individual",Sample survey data [ssd],"Wameq Azfar Raza (World Bank (Poverty and Equity GP)), Syud Amer Ahmed (World Bank (Social Protection and Jobs GP)), Jyotirmoy Saha (World Bank (Social Protection and Jobs GP)), Johannes Hoogeveen (World Bank (Poverty and Equity GP))",Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/9251
6076,IND_2014_CSPIE-BL_v01_M_v01_A_PUF,Child Stimulation Programs in Madhya Pradesh Impact Evaluation 2014,NA,NA,Sample survey data [ssd],"Jed Friedman (Development Research Group, World Bank), Harold Alderman (International Food Policy Research Institute, IFPRI)",Other Household Survey [hh/oth],"The scope of the study includes:
- Household characteristics
- Household labor (farming, own business, vocational training)
- Household work, domestic duties
- Early childhood development 
- Use of AWC services (Nutrition Rehabilitation Centre (NRC), Bal Choupal, Sneha Shivir , pregnancy, delivery)
- Growth monitoring of the child 
- Child's diet
- Child illness, health-seeking behavior and immunization 
- Essential nutrition actions
- Depression 
- Anthropometric measures (weight, height)",https://catalog.ihsn.org/catalog/6076
7339,ECA_2015_CECA_v01_M,Cities in Europe and Central Asia Database 1992 - 2012,NA,- a city,Process-produced data [pro],"Paula Restrepo Cadavid (World Bank), Grace Cineas (World Bank), Sofia Zhukova (World Bank)",NA,"The scope of the study includes:
- City population, area
- Light convergence
- Urbanization
- Economic density 
- Monotowns (cities which economic performance and employment is highly dependent on one or few industries)
- Population growth
- Migration",https://catalog.ihsn.org/catalog/7339
9412,ETH_2016_ECSS_v01_M,Civil Servants Survey 2016,NA,Individual & Organization,Sample survey data [ssd],"Kerenssa Mayo Kay (World Bank), Daniel Rogger (World Bank), Iman Kalyan Sen (World Bank)",NA,NA,https://catalog.ihsn.org/catalog/9412
11211,BGD_2018_CCRIP-IIAS_v01_M_v01_A_OCS,"Coastal Climate Resilient Infrastructure Project, IFAD Impact Assessment Surveys 2018",NA,Households,Sample survey data [ssd],International Fund for Agricultural Development (United Nations),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/11211
11217,IDN_2018_CCDP-IIAS_v01_M_v01_A_OCS,"Coastal Community Development Project, IFAD Impact Assessment Surveys 2018",NA,Households,Sample survey data [ssd],International Fund for Agricultural Development (United Nations),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/11217
10664,UGA_2019_CPS_v01_M,Community Perception Survey - 2019,NA,Individuals and households,Sample survey data [ssd],Ground Truth Solutions,NA,NA,https://catalog.ihsn.org/catalog/10664
7450,ZAF_2016_CLSDS_v01_M,Community-Level Social Dynamics Survey 2016-2017,The survey enumerated residents in the 10 communities aged 18+,Households and individuals,Sample survey data [ssd],"Social Surveys Africa, Freedom House",Other Household Survey [hh/oth],"The survey collected the following data on enumerated households:

- Respondents' neighbourhood and dwelling (from observation)
- Demographic data (age, education-level, language, nationality, place of birth)
- Data on migration, mobility and relationship to place
- Data on socio-economic standing (life satisfaction, family support, employment, income, transport, access to and use of media, including ICT)
- Social activities and interactions
- Political activities and trust in government entities
- Beliefs and values",https://catalog.ihsn.org/catalog/7450
7083,RWA_2015_CFSVA_v01_M,Comprehensive Food Security and Vulnerability Analysis 2015,NA,"- Households
- Communities",Sample survey data [ssd],National Institute of Statistics of Rwanda (Ministry of Finance and Economic Planning),Other Household Survey [hh/oth],"The Comprehensive Food Security and Vulnerability Analysis 2015 covered the following topics:

VILLAGE INFORMATION
- Community infrastructure 
- Market information
- Agricultural crop calendar
- Shocks and received assistance

HOUSEHOLD INFORMATION
- Household demographic characteristics
- Housing and facilities
- Assets and access to credit 
- Agriculture 
- Livelihoods
- Expenditures 
- Food consumption and sources 
- Shocks, coping strategies and assistance

WOMEN INFORMATION
- Women (15-49 years old) 
- Pregnancy
- Health
- Hygiene and food consumption

CHILDREN UNDER-FIVE INFORMATION 
- Breastfeeding
- Health and supplements
- Infant and young child feeding practices (6 - 24) months",https://catalog.ihsn.org/catalog/7083
7264,ARM_2017_CSMAP_v01_M,Comprehensive Survey of the Migration of Armenia Population 2017,NA,Individuals and Households,Sample survey data [ssd],State Committee of Science of the Mes of the RA Russian-Armenian (Slavonic) University,NA,"The scope of the study includes:

- Welfare and remittances;
- Socio-demographic and economic characteristics of household members;
- The schedule of migration departures and arrivals from the given settlement of present and absent h/h members since 2014;
- Returnees from abroad;
- Those who are abroad.",https://catalog.ihsn.org/catalog/7264
9535,NGA_2017_CV_v01_M,"Conflict and Violence in Nigeria 2017, First Round",The survey covered all household members. The questionnaire was administered to only one respondent per household - most often a male household head.,"Individuals
Households
Communities",Sample survey data [ssd],"National Bureau of Statistics (NBS) (Federal Government of Nigeria (FGN)), World Bank",Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9535
4398,MUS_2013_CMPHS_v01_M,Continuous Multi-Purpose Household Survey 2013,NA,- Household,Sample survey data [ssd],Central Statistics Office,Other Household Survey [hh/oth],"The scope of the survey includes the following: 
- Demographic characteristics
- Education 
- Individual record 
- Current work 
- Household record 
- Time use",https://catalog.ihsn.org/catalog/4398
