data_kind,study_type,unit_of_analysis,universe,keep,rationale,instrument_type
NA,NA,Stakeholders of the World Bank Group in Djibouti,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Ethiopia,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Gambia,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in India,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Indonesia,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Kenya,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Lao PDR,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Mauritania,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Mauritius,NA,No,Relevant only to World Bank,
NA,NA,Individuals,"Targeted participants of the three RSRCs, including children, secondary students, business people, general community members, and other populations. With the exception of a few educators, all evaluation participants will be familiar with the RSRCs; non-user interviews are beyond the scope of this evaluation.",No,Impact evaluation,
NA,NA,Stakeholders of the World Bank Group in Pakistan,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Afghanistan,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Nicaragua,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Bolivia.,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Brazil,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Costa Rica.,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Dominican Republic.,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Georgia,NA,No,Relevant only to World Bank,
NA,NA,Household and individual,IDPs and host communities.,No,limited sample,
NA,NA,"Opinion leaders from national and local governments, multilateral/bilateral agencies, media, academia, the private sector, and civil society.",NA,No,opinion survey,
NA,NA,Household and individual.,NA,NA,,
NA,NA,Stakeholders of the World Bank Group in Paraguay.,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Peru.,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Argentina,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Belarus,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Honduras.,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Panama.,NA,No,Relevant only to World Bank,
NA,NA,Individual,NA,NA,,
NA,NA,Households and individuals,NA,NA,,
NA,NA,Shelter,NA,No,wrong unit of analysis,
NA,NA,Household.,NA,NA,,
NA,NA,Individuals,NA,NA,,
NA,Other Household Survey [hh/oth],"Circuit, school, individual",NA,NA,,
NA,NA,households,NA,NA,,
NA,NA,Household and individual,NA,NA,,
NA,NA,NA,"Study populations are:

Impact Evaluation:
- Households, businessess, and communities sampled for the evaluation of OCEF grants: these are households, businessess, and communities (including those in rural and off-grid areas) which are targeted as customers by OCEF grant recipients. The control population are equivalent entities in control (non-treated) communities which will be matched ex-post
- OCEF grant beneficiaries

Performance Evaluation:
- OCEF grant beneficiaries
- Other private sector off-grid energy firms (including those who at least initiated an application for OCEF funding in Calls 1 and/or 2, and those who completed an application but where not shortlisted)
- Other key stakeholders involved in or knowledgeable about OCEF, including representatives from: MCC, MCA, NIRAS, IED, the Government of Benin (eg, ARE, ABERME), and other stakeholding entities (e.g, EU, World Bank, GiZ)",No,Impact evaluation,
NA,NA,"Individuals
Households","The following sub-counties are included in the population : Ganze, Magarini and Kaloleni in Kilifi county and Balambala, Dadaab, Fafi and Ijara in Garissa county. The definition of the population is constricted by the circumstances on the ground. Particularly, areas of extreme security risk are excluded from the viable population as the operation of both implementation and evaluation teams would be unsafe. Within these areas, the population of households is restricted to those households eligible for enrolment in the Mwangaza Mashinani pilot project. Specifically, these are CT-OVC and/or OP-CT beneficiary households residing in off-grid communities in Kilifi and Garissa, that have at least one household member enrolled in and attending school and that do not possess a solar device with more than one bulb and who have indicated to be willing to pay 250 Ksh as a deposit for the solar device.",No,irrelevant topic,
NA,NA,"Community-level questionnaires with units of analysis being individuals (G-united participants, local community members, teachers, school students)",NA,No,irrelevant topic,
NA,NA,Household,All population of concern to UNHCR who have been recepients of cash-based interventions.,No,UNHCR survey,
NA,Other Household Survey [hh/oth],Child,NA,NA,,
NA,Other Household Survey [hh/oth],"Individual, Household",NA,NA,,
NA,Other Household Survey [hh/oth],Household,NA,NA,,
NA,NA,household,NA,NA,,
NA,Household Survey,"Households, individuals, and plots",NA,NA,,
NA,NA,Focus group,NA,NA,,
NA,NA,Household,All people of concern.,NA,,
NA,Other Household Survey [hh/oth],Households,NA,NA,,
NA,NA,"F1- health facility assessment: health center 
F2- health provider interview: health provider 
F3 - direct observation of antenatal care consultation: consultation 
F4 - direct observation of curative care for children under-5: consultation 
F5 - exit interview for antenatal care: pregnant woman 
F6 - exit interview for child curative care: parent or guardian of caregiver of sick child
F7 -exit interview for family planning consultation: user
F8-direct observation of family planning consultation: consultation 
F9- direct observation of curative care for children under-5: consultation",NA,Yes,Household health,Household health survey
NA,NA,"Households, Individuals",NA,NA,,
NA,NA,Stakeholder,NA,No,Relevant only to World Bank,
NA,NA,Stakeholders of the World Bank Group in Armenia,NA,No,Relevant only to World Bank,
NA,"Sample Frame, Households [sf/hh]",Individuals,NA,NA,,
Observation data/ratings [obs],Other Household Survey [hh/oth],NA,"The target population is the civilian, non-institutionalized population 15 years and above.",NA,,
Observation data/ratings [obs],Other Household Survey [hh/oth],Individual,"The target population is the civilian, non-institutionalized population 15 years and above.",NA,,
Observation data/ratings [obs],Other Household Survey [hh/oth],Individuals,"The target population is the civilian, non-institutionalized population 15 years and above.",NA,,
Observation data/ratings [obs],Other Household Survey [hh/oth],Individual,NA,NA,,
Other,NA,Individuals,"The study population includes all grantees, grant applicants, contractors, MCA-I staff involved in GP, MCC staff involved in GP, GOI representatives invovled in GP, and grant administrators for Green Prosperity.",No,limited sample,
Other,NA,individuals,"The study population includes all grantees, grant applicants, contractors, MCA-I staff involved in GP, MCC staff involved in GP, GOI representatives invovled in GP, and grant administrators for Green Prosperity.",No,limited sample,
Other,NA,"Households, enterprises","At baseline, the universe is constructed of households and enterprises connected to the 11 kampung-level micro-grids that will be constructed in East Sumba and the 3 village-level micro-grids that will be constructed in Berau. At future data collection points, this universe may expand to treatment populations of other CBOG RE grants.",No,limited sample,
Other,NA,"Community, households, administrative units, other",Road users,No,limited sample,
Process-produced data [pro],NA,#NAME?,NA,No,limited sample,
Qualitative and quantitative,Survey and Case Studies,Individuals and institutions,"The study covered grade 3 and grade 6 learners in the sampled schools, and principals, teachers and schools in the 8 schools selected for the case studies.",No,Impact evaluation,
Sample survey data,Other Household Survey [hh/oth],"Unit analisis: rumah tangga, desa","1. Buku Karakteristik Desa   : Kepala Desa/Lurah atau Sekretaris Desa/Lurah atau Kepala Urusan.
2. Buku Karakteristik Dusun : Kepala Dusun/Unit Wilcah atau Ketua RW atau Ketua RT.
3. Buku Rumah Tangga        : Kepala Rumah Tangga atau Pasangan Kepala Rumah Tangga atau Anggota Rumah Tangga perempuan lainnya yang berumur 18 tahun atau lebih.
4. Buku Indvidu Dewasa      : Anggota Rumah Tangga yang berumur lebih dari 15 tahun
5. Buku Individu Anak          : Anggota Rumah Tangga yang berumur <= 15  tahun.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Household,All people of concern.,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Individual, Household-level","Telephone accessible adult population, aged 18+",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Individuals,All population of concern to UNHCR who have been recepients of MHM kits as part of non food items' distribution.,No,UNHCR survey,
Sample survey data [ssd],Other Household Survey [hh/oth],Individuals,All population of concern to UNHCR who have been recepients of soap kits as part of non food items' distribution.,No,UNHCR survey,
Sample survey data [ssd],Other Household Survey [hh/oth],Households and individuals,The universe of the study is South Africans 18 years old or older.,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Survey I: Household and adult over age of 18; 
Survey II: Household with children;
Survey III: Household and adult over age of 18; households with migrants;
Survey IV: Household and adult over age of 18; households with children",NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Households and individuals,a) Rohingya population living in camps and b) host population within Cox's Bazar and Bandarban district.,No,UNHCR survey,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"The survey covers households that reported telephone numbers, are included in the social registry data collected by the Ministry of Social Affairs and Solidarity (MASS) and have been interviewed after 2017. Refugees are excluded from this first round.",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Individual,"Adult population (18 years old and over), excluding the populations living in territories affected by military conflict (South Ossetia and Abkhazia).",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Household,NA,NA,,
Sample survey data [ssd],NA,Household,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Individuals,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"The survey covered all de jure households excluding prisons, hospitals, military barracks, and school dormitories.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households,NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Households,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],NA,NA,NA,,
Sample survey data [ssd],NA,Student,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Households
Individuals",The survey covered urban and rural households,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Individuals,Individual Small Scale Farmers.,NA,,
Sample survey data [ssd],NA,The units of analysis are establishments or workplaces – a single location at which one or more employees work. The larger legal entity may include multiple establishments.,"The universe of the study are non-government enterprise workplaces registered with the Azeri Statistical Office 2013 with at least five employees excluding the following sectors: land, water and air transportation, wood processing, pulp and paper, tobacco manufacturing and recycling.",No,enterprise survey,
Sample survey data [ssd],Other Household Survey,Data are collected at both the individual and household level,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],CBO(community-based organization)-municipality,NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Households and individuals of 18 years of age and older.,"Households with a landline or in which at least one member has a cell phone, and individuals 18 years of age or above who have an active cell phone number or a landline at home.",NA,,
Sample survey data [ssd],"Sample Frame, Households [sf/hh]",Household,NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Individual and Household,All persons of concern for UNHCR,No,UNHCR survey,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Households,"The sample universe covers all urban refugee households (239) living in Kathmandu as well as all 2,409 Bhutanese refugee households living in Pathari sanichare and Beldangi camps.",No,irrelevant topic,
Sample survey data [ssd],NA,#NAME?,The survey was fielded to active Facebook users ages 18 and above.,No,limited sample,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],#NAME?,"The survey covered all de jure households (with a phone number) excluding prisons, hospitals, military barracks, and school dormitories.",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Household,"Refugees, Host communities",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"The survey covered only households of the 2018/19 Enquête sur la Consommation des Ménages et le Secteur Informel au Tchad (ECOSIT 4) which excluded populations in prisons, hospitals, military barracks, and school dormitories.",Yes,consumption survey,Household Income/expenditure survey
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"The survey covers national households that reported telephone numbers, are included in the social registry data collected by the Ministry of Social Affairs and Solidarity (MASS) and have been interviewed after 2017.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"For the refugee sample, the survey covers households from the sample of the Refugee Survey collected in 2019 by INSD jointly with MASS, World Food Program (WFP) and United Nations High Commissioner for Refugees (UNHCR) through face-to-face interviews. The resultant refugee sample of the COVID-19 Phone Survey only includes households who had a phone number, and have responded to the survey.",No,UNHCR survey,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Households and individuals of 18 years of age and older.,"Households with a landline or in which at least one member has a cell phone, and individuals 18 years of age or above who have an active cell phone number or a landline at home. For Ecuador, Venezuelan households and people, provided they meet the previous requirements.",NA,,
Sample survey data [ssd],NA,Student,"Our sampling frame for the phone survey consisted of 4,163 students in 177 classes in 88 schools in Zone 2 of Ecuador.",No,limited sample,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Household,NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Household, Individual (adult over age 18)",NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households,The total population spans all beneficiaries subject to the last four Cash-Based Intervention in 2020 in Malaysia.,No,Impact evaluation,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"The survey covered only households of the 2018/19 survey which excluded populations in prisons, hospitals, military barracks, and school dormitories.",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],#NAME?,The universe for this survey is the whole population in Myanmar. The sample frame used was an existing list of phone numbers provided by the firm collecting the data.,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Household, individuals",NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],#NAME?,Households with access to phones.,NA,,
Sample survey data [ssd],NA,Household,Refugees & host communities,No,limited sample,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Household,Urban refugees,No,limited sample,
Sample survey data [ssd],NA,NA,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households,The survey covers all households not sectors.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,The survey covered all household members. The questionnaire was administered to only one respondent per household - most often a male household head.,NA,,
Sample survey data [ssd],Other Household Survey,Household,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"- At the household level, the study population consists of all the households in the four HSNP counties (i.e. Mandera, Marsabit, Turkana and Wajir). Within a household, the survey covered all de jure household members (usual residents). 

- At the market level, the survey covered a random sample of businesses in the three main commercial hubs of each county. The aim was to capture information on three main sectors of the local economy:

1.	Retailing - shops that sell retail goods on which a price mark-up is applied;
2.	Services;
3.	Producers - businesses that transform inputs into outputs.

The following categories of businesses were excluded from the listing:

1.	Temporary stalls or mobile sellers located outside permanent kiosks;
2.	Banks;
3.	Education institutions (schools, universities etc.);
4.	Health facilities.

- The livestock trader survey was conducted in the three main livestock markets of each county. To the extent possible, livestock traders have been sampled in order to achieve a balance between those trading large animals, those trading small or medium value animals, those trading only within the HSNP counties and those who also trade outside the HSNP counties.",No,enterprise survey,
Sample survey data [ssd],Other Household Survey,The units of analysis are the individual respondents and households. A household roster is undertaken at the start of the survey and the individual respondent is randomly selected among all household members aged 15 to 64 included. The random selection process was designed by the STEP team and compliance with the procedure is carefully monitored during fieldwork.,"The target population for the Armenia STEP survey comprises all non-institutionalized persons 15 to 64 years of age (inclusive) living in private dwellings in urban areas of the country at the time of data collection. This includes all residents except foreign diplomats and non-nationals working for international organizations.

The following are excluded from the sample:
- Residents of institutions (prisons, hospitals, etc)
- Residents of senior homes and hospices
- Residents of other group dwellings such as college dormitories, halfway homes, workers' quarters, etc
- Persons living outside the country at the time of data collection

In some countries, extremely remote villages or conflict-ridden regions could not be surveyed.",Yes,STEP Surveys have sex-disaggregated data,LFS
Sample survey data [ssd],NA,The units of analysis are establishments and workplaces – a single location at which one or more employees work. The larger legal entity may include multiple establishments.,"The universe of the study are non-government businesses registered with Armenia Social Security State Agency from 2012, with at least five employees in the following sectors: food processing, fishing, mining, manufacturing, electricity, gas and waterworks, construction, wholesale, retail trade, repair of motor vehicles, motorcycle and household goods, hotels and restaurants, transportation, financial services, real estate.",No,enterprise survey,
Sample survey data [ssd],Other Household Survey,The units of analysis are the individual respondents and households. A household roster is undertaken at the start of the survey and the individual respondent is randomly selected among all household members 18 (in Macedonia case) to 64 years old (included). The random selection process was designed by the STEP team and compliance with the procedure is carefully monitored during fieldwork.,"The target population for the Macedonia STEP survey comprises all non-institutionalized persons 15 to 64 years old living in private dwellings in urban areas of the country at the time of data collection. This includes all residents except foreign diplomats and non-nationals working for international organizations.

Persons 15-17 years old were not explicitly included in the sample frame due to the fact that they do not have the right to vote in the Republic of Macedonia. The sampling frame was electoral polling stations listing. This group of 15 to 17 year old persons is most probably living in a dwelling with a person who is 18 to 64 years old and therefore the 15 to 17 year old persons are likely present in the target dwellings.",Yes,STEP Surveys have sex-disaggregated data,LFS
Sample survey data [ssd],Other Household Survey,The units of analysis are the individual respondents and households. A household roster is undertaken at the start of the survey and the individual respondent is randomly selected among all household members aged 15 to 64 included. The random selection process was designed by the STEP team and compliance with the procedure is carefully monitored during fieldwork.,"The STEP target population are individuals 15-64 years old, living in urban areas.

In Georgia, the following groups were excluded:
- Residents of institutions (prisons, hospitals, etc.)
- Residents of senior homes and hospices
- Residents of other group dwellings (college dormitories, halfway homes, workers' quarters, etc.)
- Persons living outside the country at the time of data collection
- Persons living in the conflict regions Abkhazia and South Ossetia",Yes,STEP Surveys have sex-disaggregated data,LFS
Sample survey data [ssd],Other Household Survey,The units of analysis are the individual respondents and households. A household roster is undertaken at the start of the survey and the individual respondent is randomly selected among all household members aged 15 to 64 included. The random selection process was designed by the STEP team and compliance with the procedure is carefully monitored during fieldwork.,"The target population for the Ghana STEP survey comprises all non-institutionalized persons 15 to 64 years of age (inclusive) living in private dwellings in urban areas of the country at the time of data collection. This includes all residents except foreign diplomats and non-nationals working for international organizations. 
Exclusions : Military barracks were excluded from the Ghana target population.",Yes,STEP Surveys have sex-disaggregated data,LFS
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Households and individuals,NA,NA,,
Sample survey data [ssd],Other Household Survey,The units of analysis are the individual respondents and households. A household roster is undertaken at the start of the survey and the individual respondent is randomly selected among all household members aged 15 to 64 included. The random selection process was designed by the STEP team and compliance with the procedure is carefully monitored during fieldwork.,"The target population is defined as all non-institutionalized persons aged 15 to 64 (inclusive) living in private dwellings in the urban areas of the country at the time of the data collection. This includes all residents, except foreign diplomats and non-nationals working for international organizations  
The following are considered ""institutionalized"" and excluded from the STEP survey:  
- Residents of institutions (prisons, hospitals, etc)  
- Residents of senior homes and hospices  
- Residents of other group dwellings such as college dormitories, halfway homes, workers' quarters, etc   

Other acceptable exclusions are:  
- Persons living outside the country at the time of data collection, e.g., students at foreign universities  
Deviation Requested from the Standard: The statistical population is composed of core urban households and excludes the categories identified here, as well as itinerants (as classified in the Population Census 2009 in Kenya).",Yes,STEP Surveys have sex-disaggregated data,LFS
Sample survey data [ssd],NA,The units of analysis are establishments and workplaces – a single location at which one or more employees work. The larger legal entity may include multiple establishments.,"The universe of the study are non-government enterprise workplaces registered with the Georgia State Department of Statistics with at least twenty employees in the following sectors: tourism, construction and IT and telecommunication.",No,enterprise survey,
Sample survey data [ssd],NA,#NAME?,"The evaluation will use household surveys and community surveys. To identify the households to be sampled, a census of the selected areas was implemented and a sample framework was developed which include a variable that identified if the household had access to electricity or not. From the sample framework a stratified random sample was selected within the household which did not have access to electricity at the moment of the pre-census.

The household survey will interview approximately 1,532 households especifically for the electricity sub-activity impact evaluation.",No,Impact evaluation,
Sample survey data [ssd],NA,"Individuals, Schools",NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Household
Individual","WVS surveys are required to cover all residents (not only citizens) between the ages of 18 and 85, inclusive. PI's can lower the minimum age limit as long as the minimum required sample size for the 18+ population (N=1200) is achieved.",No,opinion survey (World Values Survey),
Sample survey data [ssd],NA,#NAME?,NA,NA,,
Sample survey data [ssd],NA,"Productivity
Individuals, herder groups

Phase 1
Households

Phase 2
Individuals, households","Productivity
Herder groups in intervention areas

Phase 1
Herder households in rural Mongolia, in the areas around Ulaanbaatar, Darkhan, and Erdenet cities.

Phase 2
All households that were members of the 328 herder groups that applied to the PURP in the Phase II areas. And two neighbor households of these groups that lived within 2 km of the lease area boundaries.

Modification for Wave 2:
Sampling of neighbor households was extended to 5 km distance from lease area boundaries, due to low rates of successful neighbor interview in the baseline survey.",Yes,Agricultural survey,Agricultural survey
Sample survey data [ssd],NA,Individuals,"12,000 15-17 year old applicants to 10 oversubscribed TVET schools in urban and peri-urban Mongolia",NA,,Other household survey
Sample survey data [ssd],Other Household Survey [hh/oth],Individuals,"The sample universe for Afrobarometer surveys includes all citizens of voting age within the country. In other words, we exclude anyone who is not a citizen and anyone who has not attained this age (usually 18 years) on the day of the survey. Also excluded are areas determined to be either inaccessible or not relevant to the study, such as those experiencing armed conflict or natural disasters, as well as national parks and game reserves. As a matter of practice, we have also excluded people living in institutionalized settings, such as students in dormitories and persons in prisons or nursing homes.",No,opinion survey (Afrobarometer),Other household survey
Sample survey data [ssd],NA,Individuals,NA,NA,,
