id_ilo,id_lsms,country,year,instrument_name_ilo,instrument_name_lsms,instrument_type_ilo,instrument_type_lsms,authoring_entity_ilo,authoring_entity_lsms,country_yr_match,name diff from LSMS data?,authoring entity diff from LSMS data?,notes,possible_duplicate,LN,final_duplicate_flag
6956,2563,Liberia,2014,Household Income and Expenditure Survey 2014,Household Income and Expenditure Survey 2014-2015,HIES,HIES,Liberia Institute for Statistics & Geo-Information Services,Liberia Institute for Statistics and Geo-Information Services,1,no,no,"likely duplicate, name almost identical (LSMS says 2014-2015)",yes,yes,1
6866,3766,Malawi,2020,Integrated Household Survey 2020,High-Frequency Phone Survey 2020-2023,HIES,HIES,National Statistical Office,Malawi National Statistical Office (NSO),1,no,no,possible duplicate,yes,"not a duplicate, but don't count LSMS entry",NA
6867,4011,Malawi,2017,Integrated Household Survey 2016-2017,Livelihoods Programme Monitoring Beneficiary Survey 2017,HIES,HIES,National Statistical Office,United Nations High Commissioner for Refugees,1,yes,yes,NA,NA,,0
8049,5463,Mauritania,2019,NA 2019,Food Insecurity Experience Scale 2019,HIES,HIES,Office National de la Statistique,FAO Statistics Division,1,yes,yes,NA,NA,,0
6875,5002,Mongolia,2016,Household Socio-Economic Survey 2016,Food Insecurity Experience Scale 2016,HIES,HIES,National Statistical Office (NSO),FAO Statistics Division,1,yes,yes,NA,NA,,0
6876,5004,Mongolia,2014,Household Socio-Economic Survey 2014,Food Insecurity Experience Scale 2014,HIES,HIES,National Statistical Office (NSO),FAO Statistics Division,1,yes,yes,NA,NA,,0
6874,5011,Mozambique,2015,Inquérito aos orçamentos familiares 2015,Food Insecurity Experience Scale 2015,HIES,HIES,Instituto Nacional de Estadistica,FAO Statistics Division,1,yes,yes,NA,NA,,0
7532,5032,Niger,2014,Enquête Nationale sur les Conditions de Vie de Ménages 2014,Food Insecurity Experience Scale 2014,HIES,HIES,Institut National de la Statistique (INS),FAO Statistics Division,1,yes,yes,NA,NA,,NA
7532,2676,Niger,2014,Enquête Nationale sur les Conditions de Vie de Ménages 2014,"National Survey on Household Living Conditions and Agriculture 2014, Wave 2 Panel Data",HIES,HIES,Institut National de la Statistique (INS),Survey and Census Division,1,no,no,"similar survey name exists in LSMS so need to check for duplicate - ""national survey on household living conditions and agriculture 2014""",yes,yes,1
7513,5052,Portugal,2016,Inquérito às Condições de Vida e Rendimento 2016,Food Insecurity Experience Scale 2016,HIES,HIES,Instituto Nacional de Estatistica,FAO Statistics Division,1,yes,yes,NA,NA,,0
8001,5053,Portugal,2015,Inquérito às Condições de Vida e Rendimento 2015,Food Insecurity Experience Scale 2015,HIES,HIES,Instituto Nacional de Estatistica,FAO Statistics Division,1,yes,yes,NA,NA,,0
8002,5054,Portugal,2014,Inquérito às Condições de Vida e Rendimento 2014,Food Insecurity Experience Scale 2014,HIES,HIES,Instituto Nacional de Estatistica,FAO Statistics Division,1,yes,yes,NA,NA,,0
6688,4297,Senegal,2018,Enquête Harmonisée sur les Conditions de Vie des Ménages 2018,Enquête Harmonisée sur le Conditions de Vie des Ménages 2018-2019,HIES,HIES,Agence Nationale de la Statistique et de la Demographie (ANSD),Agence National de la Statistique et de la Démographie (ANSD),1,no,no,likely duplicate,yes,yes,1
6688,5392,Senegal,2018,Enquête Harmonisée sur les Conditions de Vie des Ménages 2018,Food Insecurity Experience Scale 2018,HIES,HIES,Agence Nationale de la Statistique et de la Demographie (ANSD),FAO Statistics Division,1,yes,yes,NA,NA,,NA
7454,5117,Togo,2015,Questionnaire sur les Indicateurs de Base du Bien-être 2015,Food Insecurity Experience Scale 2015,HIES,HIES,Institut National de la Statistique et des Etudes Economiques et Demographiques,FAO Statistics Division,1,yes,yes,NA,NA,,0
