Country,Survey Availability,Year of the survey
Bulgaria,1995 - 2004,1996
Colombia,2005 - later,Since 2006
Ecuador,1995 - 2004,2003
Ecuador,2005 - later,2007
Ecuador,2005 - later,2010
Ecuador,1995 - 2004,2004
Paraguay,1995 - 2004,2000-01
Brazil,1995 - 2004,Since 2001
Ecuador,2005 - later,2012
Lao People's Democratic Republic,1985 - 1994,1992-93
Sweden,1995 - 2004,2000-01
Djibouti,2005 - later,2012
Denmark,Up to 1984,1975
Denmark,1995 - 2004,2001
Netherlands,1985 - 1994,1992
Switzerland,1995 - 2004,2001
Poland,Up to 1984,1968
Poland,Up to 1984,1976
Poland,Up to 1984,1984
Japan,2005 - later,2007
Estonia,1995 - 2004,1996
Paraguay,1995 - 2004,1997-98
Chad,1995 - 2004,1995
Bosnia and Herzegovina,2005 - later,2010
Canada,1985 - 1994,1986
Indonesia,2005 - later,2005
Canada,1985 - 1994,1992
Japan,1995 - 2004,1996
Indonesia,1995 - 2004,2004
Greece,1995 - 2004,1996
Nigeria,1995 - 2004,1998
Lao People's Democratic Republic,1995 - 2004,1997-98
Indonesia,1995 - 2004,1998-99
Canada,2005 - later,2014
Canada,2005 - later,2015-16
Thailand,2005 - later,2014
Uganda,2005 - later,2009-10
Dominican Republic,2005 - later,2006-07
Venezuela,2005 - later,2011-12
El Salvador,2005 - later,2004-05
El Salvador,2005 - later,2010-11
Honduras,2005 - later,2011
Uruguay,1995 - 2004,2003
Bolivia (Plurinational State of),2005 - later,2010-11
Guadeloupe,2005 - later,2010
Martinique,2005 - later,2010
Nepal,2005 - later,2010-11
Panama,2005 - later,2006
Bangladesh,2005 - later,2012
