country,country_code,indicator_name,number_of_surveys,percent_complete,standard
Aruba,ABW,Agricultural Survey/Census,0,0,2
Aruba,ABW,Household Health Survey,0,0,4
Aruba,ABW,Household Income and Expenditure Survey,0,0,2
Aruba,ABW,Labour Force Survey,1,10,10
Aruba,ABW,Time Use Survey,0,0,2
Asia,,Agricultural Survey/Census,2,100,2
Asia,,Household Health Survey,2,50,4
Asia,,Household Income and Expenditure Survey,3,100,2
Asia,,Labour Force Survey,5,50,10
Asia,,Time Use Survey,0,0,2
Australia,AUS,Agricultural Survey/Census,3,100,2
Australia,AUS,Household Health Survey,0,0,4
Australia,AUS,Household Income and Expenditure Survey,9,100,2
Australia,AUS,Labour Force Survey,1,10,10
Australia,AUS,Time Use Survey,1,50,2
Austria,AUT,Agricultural Survey/Census,2,100,2
Austria,AUT,Household Health Survey,0,0,4
Austria,AUT,Household Income and Expenditure Survey,1,50,2
Austria,AUT,Labour Force Survey,10,100,10
Austria,AUT,Time Use Survey,1,50,2
Azerbaijan,AZE,Agricultural Survey/Census,2,100,2
Azerbaijan,AZE,Household Health Survey,1,25,4
Azerbaijan,AZE,Household Income and Expenditure Survey,0,0,2
Azerbaijan,AZE,Labour Force Survey,2,20,10
Azerbaijan,AZE,Time Use Survey,0,0,2
Bahamas,BHS,Agricultural Survey/Census,0,0,2
Bahamas,BHS,Household Health Survey,0,0,4
Bahamas,BHS,Household Income and Expenditure Survey,0,0,2
Bahamas,BHS,Labour Force Survey,3,30,10
Bahamas,BHS,Time Use Survey,0,0,2
Bahrain,BHR,Agricultural Survey/Census,0,0,2
Bahrain,BHR,Household Health Survey,0,0,4
Bahrain,BHR,Household Income and Expenditure Survey,0,0,2
Bahrain,BHR,Labour Force Survey,1,10,10
Bahrain,BHR,Time Use Survey,0,0,2
Bangladesh,BGD,Agricultural Survey/Census,5,100,2
Bangladesh,BGD,Household Health Survey,7,100,4
Bangladesh,BGD,Household Income and Expenditure Survey,5,100,2
Bangladesh,BGD,Labour Force Survey,5,50,10
Bangladesh,BGD,Time Use Survey,1,50,2
Barbados,BRB,Agricultural Survey/Census,0,0,2
Barbados,BRB,Household Health Survey,0,0,4
Barbados,BRB,Household Income and Expenditure Survey,1,50,2
Barbados,BRB,Labour Force Survey,8,80,10
Barbados,BRB,Time Use Survey,0,0,2
Belarus,BLR,Agricultural Survey/Census,1,50,2
Belarus,BLR,Household Health Survey,1,25,4
Belarus,BLR,Household Income and Expenditure Survey,2,100,2
Belarus,BLR,Labour Force Survey,9,90,10
Belarus,BLR,Time Use Survey,1,50,2
Belgium,BEL,Agricultural Survey/Census,2,100,2
Belgium,BEL,Household Health Survey,0,0,4
Belgium,BEL,Household Income and Expenditure Survey,1,50,2
Belgium,BEL,Labour Force Survey,9,90,10
Belgium,BEL,Time Use Survey,0,0,2
Belize,BLZ,Agricultural Survey/Census,2,100,2
Belize,BLZ,Household Health Survey,2,50,4
Belize,BLZ,Household Income and Expenditure Survey,1,50,2
Belize,BLZ,Labour Force Survey,10,100,10
Belize,BLZ,Time Use Survey,1,50,2
Benin,BEN,Agricultural Survey/Census,1,50,2
Benin,BEN,Household Health Survey,5,100,4
Benin,BEN,Household Income and Expenditure Survey,4,100,2
Benin,BEN,Labour Force Survey,0,0,10
Benin,BEN,Time Use Survey,0,0,2
Bermuda,BMU,Agricultural Survey/Census,0,0,2
Bermuda,BMU,Household Health Survey,0,0,4
Bermuda,BMU,Household Income and Expenditure Survey,0,0,2
Bermuda,BMU,Labour Force Survey,1,10,10
Bermuda,BMU,Time Use Survey,0,0,2
Bhutan,BTN,Agricultural Survey/Census,2,100,2
Bhutan,BTN,Household Health Survey,1,25,4
Bhutan,BTN,Household Income and Expenditure Survey,0,0,2
Bhutan,BTN,Labour Force Survey,8,80,10
Bhutan,BTN,Time Use Survey,0,0,2
Bolivia,BOL,Agricultural Survey/Census,4,100,2
Bolivia,BOL,Household Health Survey,1,25,4
Bolivia,BOL,Household Income and Expenditure Survey,10,100,2
Bolivia,BOL,Labour Force Survey,10,100,10
Bolivia,BOL,Time Use Survey,0,0,2
Bosnia & Herzegovina,BIH,Agricultural Survey/Census,1,50,2
Bosnia & Herzegovina,BIH,Household Health Survey,0,0,4
Bosnia & Herzegovina,BIH,Household Income and Expenditure Survey,1,50,2
Bosnia & Herzegovina,BIH,Labour Force Survey,10,100,10
Bosnia & Herzegovina,BIH,Time Use Survey,0,0,2
Botswana,BWA,Agricultural Survey/Census,2,100,2
Botswana,BWA,Household Health Survey,1,25,4
Botswana,BWA,Household Income and Expenditure Survey,0,0,2
Botswana,BWA,Labour Force Survey,0,0,10
Botswana,BWA,Time Use Survey,0,0,2
Brazil,BRA,Agricultural Survey/Census,2,100,2
Brazil,BRA,Household Health Survey,1,25,4
Brazil,BRA,Household Income and Expenditure Survey,2,100,2
Brazil,BRA,Labour Force Survey,3,30,10
Brazil,BRA,Time Use Survey,1,50,2
Brunei,BRN,Agricultural Survey/Census,0,0,2
Brunei,BRN,Household Health Survey,0,0,4
Brunei,BRN,Household Income and Expenditure Survey,0,0,2
Brunei,BRN,Labour Force Survey,9,90,10
Brunei,BRN,Time Use Survey,0,0,2
Bulgaria,BGR,Agricultural Survey/Census,2,100,2
Bulgaria,BGR,Household Health Survey,0,0,4
Bulgaria,BGR,Household Income and Expenditure Survey,3,100,2
Bulgaria,BGR,Labour Force Survey,9,90,10
Bulgaria,BGR,Time Use Survey,1,50,2
Burkina Faso,BFA,Agricultural Survey/Census,4,100,2
Burkina Faso,BFA,Household Health Survey,3,75,4
Burkina Faso,BFA,Household Income and Expenditure Survey,6,100,2
Burkina Faso,BFA,Labour Force Survey,4,40,10
Burkina Faso,BFA,Time Use Survey,0,0,2
Burundi,BDI,Agricultural Survey/Census,1,50,2
Burundi,BDI,Household Health Survey,1,25,4
Burundi,BDI,Household Income and Expenditure Survey,2,100,2
Burundi,BDI,Labour Force Survey,0,0,10
Burundi,BDI,Time Use Survey,0,0,2
Cambodia,KHM,Agricultural Survey/Census,8,100,2
Cambodia,KHM,Household Health Survey,4,100,4
Cambodia,KHM,Household Income and Expenditure Survey,10,100,2
Cambodia,KHM,Labour Force Survey,1,10,10
Cambodia,KHM,Time Use Survey,0,0,2
Cameroon,CMR,Agricultural Survey/Census,2,100,2
Cameroon,CMR,Household Health Survey,4,100,4
Cameroon,CMR,Household Income and Expenditure Survey,1,50,2
Cameroon,CMR,Labour Force Survey,0,0,10
Cameroon,CMR,Time Use Survey,0,0,2
Canada,CAN,Agricultural Survey/Census,3,100,2
Canada,CAN,Household Health Survey,0,0,4
Canada,CAN,Household Income and Expenditure Survey,0,0,2
Canada,CAN,Labour Force Survey,10,100,10
Canada,CAN,Time Use Survey,2,100,2
Cape Verde,CPV,Agricultural Survey/Census,2,100,2
Cape Verde,CPV,Household Health Survey,0,0,4
Cape Verde,CPV,Household Income and Expenditure Survey,1,50,2
Cape Verde,CPV,Labour Force Survey,3,30,10
Cape Verde,CPV,Time Use Survey,0,0,2
Cayman Islands,CYM,Agricultural Survey/Census,0,0,2
Cayman Islands,CYM,Household Health Survey,0,0,4
Cayman Islands,CYM,Household Income and Expenditure Survey,0,0,2
Cayman Islands,CYM,Labour Force Survey,1,10,10
Cayman Islands,CYM,Time Use Survey,0,0,2
Central African Republic,CAF,Agricultural Survey/Census,2,100,2
Central African Republic,CAF,Household Health Survey,2,50,4
Central African Republic,CAF,Household Income and Expenditure Survey,0,0,2
Central African Republic,CAF,Labour Force Survey,0,0,10
Central African Republic,CAF,Time Use Survey,0,0,2
Chad,TCD,Agricultural Survey/Census,5,100,2
Chad,TCD,Household Health Survey,3,75,4
Chad,TCD,Household Income and Expenditure Survey,1,50,2
Chad,TCD,Labour Force Survey,0,0,10
Chad,TCD,Time Use Survey,0,0,2
Chile,CHL,Agricultural Survey/Census,3,100,2
Chile,CHL,Household Health Survey,0,0,4
Chile,CHL,Household Income and Expenditure Survey,10,100,2
Chile,CHL,Labour Force Survey,10,100,10
Chile,CHL,Time Use Survey,2,100,2
China,CHN,Agricultural Survey/Census,2,100,2
China,CHN,Household Health Survey,0,0,4
China,CHN,Household Income and Expenditure Survey,1,50,2
China,CHN,Labour Force Survey,3,30,10
China,CHN,Time Use Survey,1,50,2
Colombia,COL,Agricultural Survey/Census,5,100,2
Colombia,COL,Household Health Survey,3,75,4
Colombia,COL,Household Income and Expenditure Survey,10,100,2
Colombia,COL,Labour Force Survey,10,100,10
Colombia,COL,Time Use Survey,2,100,2
Comoros,COM,Agricultural Survey/Census,1,50,2
Comoros,COM,Household Health Survey,1,25,4
Comoros,COM,Household Income and Expenditure Survey,2,100,2
Comoros,COM,Labour Force Survey,3,30,10
Comoros,COM,Time Use Survey,0,0,2
Congo - Brazzaville,COG,Agricultural Survey/Census,2,100,2
Congo - Brazzaville,COG,Household Health Survey,1,25,4
Congo - Brazzaville,COG,Household Income and Expenditure Survey,0,0,2
Congo - Brazzaville,COG,Labour Force Survey,0,0,10
Congo - Brazzaville,COG,Time Use Survey,0,0,2
Congo - Kinshasa,COD,Agricultural Survey/Census,5,100,2
Congo - Kinshasa,COD,Household Health Survey,3,75,4
Congo - Kinshasa,COD,Household Income and Expenditure Survey,1,50,2
Congo - Kinshasa,COD,Labour Force Survey,1,10,10
Congo - Kinshasa,COD,Time Use Survey,0,0,2
Cook Islands,COK,Agricultural Survey/Census,2,100,2
Cook Islands,COK,Household Health Survey,0,0,4
Cook Islands,COK,Household Income and Expenditure Survey,1,50,2
Cook Islands,COK,Labour Force Survey,2,20,10
Cook Islands,COK,Time Use Survey,0,0,2
Costa Rica,CRI,Agricultural Survey/Census,3,100,2
Costa Rica,CRI,Household Health Survey,1,25,4
Costa Rica,CRI,Household Income and Expenditure Survey,10,100,2
Costa Rica,CRI,Labour Force Survey,10,100,10
Costa Rica,CRI,Time Use Survey,2,100,2
Croatia,HRV,Agricultural Survey/Census,2,100,2
Croatia,HRV,Household Health Survey,0,0,4
Croatia,HRV,Household Income and Expenditure Survey,3,100,2
Croatia,HRV,Labour Force Survey,9,90,10
Croatia,HRV,Time Use Survey,0,0,2
Cuba,CUB,Agricultural Survey/Census,0,0,2
Cuba,CUB,Household Health Survey,2,50,4
Cuba,CUB,Household Income and Expenditure Survey,0,0,2
Cuba,CUB,Labour Force Survey,1,10,10
Cuba,CUB,Time Use Survey,0,0,2
Curaçao,CUW,Agricultural Survey/Census,0,0,2
Curaçao,CUW,Household Health Survey,0,0,4
Curaçao,CUW,Household Income and Expenditure Survey,0,0,2
Curaçao,CUW,Labour Force Survey,2,20,10
Curaçao,CUW,Time Use Survey,0,0,2
Cyprus,CYP,Agricultural Survey/Census,2,100,2
Cyprus,CYP,Household Health Survey,0,0,4
Cyprus,CYP,Household Income and Expenditure Survey,1,50,2
Cyprus,CYP,Labour Force Survey,10,100,10
Cyprus,CYP,Time Use Survey,0,0,2
Czechia,CZE,Agricultural Survey/Census,2,100,2
Czechia,CZE,Household Health Survey,0,0,4
Czechia,CZE,Household Income and Expenditure Survey,1,50,2
Czechia,CZE,Labour Force Survey,10,100,10
Czechia,CZE,Time Use Survey,0,0,2
Côte d’Ivoire,CIV,Agricultural Survey/Census,3,100,2
Côte d’Ivoire,CIV,Household Health Survey,2,50,4
Côte d’Ivoire,CIV,Household Income and Expenditure Survey,7,100,2
Côte d’Ivoire,CIV,Labour Force Survey,4,40,10
Côte d’Ivoire,CIV,Time Use Survey,0,0,2
Denmark,DNK,Agricultural Survey/Census,2,100,2
Denmark,DNK,Household Health Survey,0,0,4
Denmark,DNK,Household Income and Expenditure Survey,1,50,2
Denmark,DNK,Labour Force Survey,9,90,10
Denmark,DNK,Time Use Survey,0,0,2
Djibouti,DJI,Agricultural Survey/Census,0,0,2
Djibouti,DJI,Household Health Survey,1,25,4
Djibouti,DJI,Household Income and Expenditure Survey,3,100,2
Djibouti,DJI,Labour Force Survey,0,0,10
Djibouti,DJI,Time Use Survey,0,0,2
Dominica,DMA,Agricultural Survey/Census,1,50,2
Dominica,DMA,Household Health Survey,0,0,4
Dominica,DMA,Household Income and Expenditure Survey,1,50,2
Dominica,DMA,Labour Force Survey,0,0,10
Dominica,DMA,Time Use Survey,0,0,2
Dominican Republic,DOM,Agricultural Survey/Census,1,50,2
Dominican Republic,DOM,Household Health Survey,3,75,4
Dominican Republic,DOM,Household Income and Expenditure Survey,2,100,2
Dominican Republic,DOM,Labour Force Survey,10,100,10
Dominican Republic,DOM,Time Use Survey,2,100,2
Ecuador,ECU,Agricultural Survey/Census,0,0,2
Ecuador,ECU,Household Health Survey,1,25,4
Ecuador,ECU,Household Income and Expenditure Survey,5,100,2
Ecuador,ECU,Labour Force Survey,10,100,10
Ecuador,ECU,Time Use Survey,1,50,2
Egypt,EGY,Agricultural Survey/Census,2,100,2
Egypt,EGY,Household Health Survey,3,75,4
Egypt,EGY,Household Income and Expenditure Survey,4,100,2
Egypt,EGY,Labour Force Survey,10,100,10
Egypt,EGY,Time Use Survey,1,50,2
El Salvador,SLV,Agricultural Survey/Census,1,50,2
El Salvador,SLV,Household Health Survey,1,25,4
El Salvador,SLV,Household Income and Expenditure Survey,5,100,2
El Salvador,SLV,Labour Force Survey,1,10,10
El Salvador,SLV,Time Use Survey,2,100,2
Equatorial Guinea,GNQ,Agricultural Survey/Census,2,100,2
Equatorial Guinea,GNQ,Household Health Survey,0,0,4
Equatorial Guinea,GNQ,Household Income and Expenditure Survey,0,0,2
Equatorial Guinea,GNQ,Labour Force Survey,0,0,10
Equatorial Guinea,GNQ,Time Use Survey,0,0,2
Eritrea,ERI,Agricultural Survey/Census,1,50,2
Eritrea,ERI,Household Health Survey,0,0,4
Eritrea,ERI,Household Income and Expenditure Survey,0,0,2
Eritrea,ERI,Labour Force Survey,0,0,10
Eritrea,ERI,Time Use Survey,0,0,2
Estonia,EST,Agricultural Survey/Census,2,100,2
Estonia,EST,Household Health Survey,0,0,4
Estonia,EST,Household Income and Expenditure Survey,1,50,2
Estonia,EST,Labour Force Survey,10,100,10
Estonia,EST,Time Use Survey,1,50,2
Eswatini,SWZ,Agricultural Survey/Census,1,50,2
Eswatini,SWZ,Household Health Survey,2,50,4
Eswatini,SWZ,Household Income and Expenditure Survey,0,0,2
Eswatini,SWZ,Labour Force Survey,4,40,10
Eswatini,SWZ,Time Use Survey,0,0,2
Ethiopia,ETH,Agricultural Survey/Census,2,100,2
Ethiopia,ETH,Household Health Survey,5,100,4
Ethiopia,ETH,Household Income and Expenditure Survey,9,100,2
Ethiopia,ETH,Labour Force Survey,2,20,10
Ethiopia,ETH,Time Use Survey,0,0,2
Europe,,Agricultural Survey/Census,2,100,2
Europe,,Household Health Survey,0,0,4
Europe,,Household Income and Expenditure Survey,2,100,2
Europe,,Labour Force Survey,9,90,10
Europe,,Time Use Survey,0,0,2
Faroe Islands,FRO,Agricultural Survey/Census,0,0,2
Faroe Islands,FRO,Household Health Survey,0,0,4
Faroe Islands,FRO,Household Income and Expenditure Survey,0,0,2
Faroe Islands,FRO,Labour Force Survey,1,10,10
Faroe Islands,FRO,Time Use Survey,0,0,2
Fiji,FJI,Agricultural Survey/Census,2,100,2
Fiji,FJI,Household Health Survey,1,25,4
Fiji,FJI,Household Income and Expenditure Survey,0,0,2
Fiji,FJI,Labour Force Survey,2,20,10
Fiji,FJI,Time Use Survey,0,0,2
Finland,FIN,Agricultural Survey/Census,2,100,2
Finland,FIN,Household Health Survey,0,0,4
Finland,FIN,Household Income and Expenditure Survey,1,50,2
Finland,FIN,Labour Force Survey,9,90,10
Finland,FIN,Time Use Survey,1,50,2
France,FRA,Agricultural Survey/Census,2,100,2
France,FRA,Household Health Survey,0,0,4
France,FRA,Household Income and Expenditure Survey,1,50,2
France,FRA,Labour Force Survey,10,100,10
France,FRA,Time Use Survey,0,0,2
French Guiana,GUF,Agricultural Survey/Census,2,100,2
French Guiana,GUF,Household Health Survey,0,0,4
French Guiana,GUF,Household Income and Expenditure Survey,0,0,2
French Guiana,GUF,Labour Force Survey,1,10,10
French Guiana,GUF,Time Use Survey,0,0,2
Gabon,GAB,Agricultural Survey/Census,1,50,2
Gabon,GAB,Household Health Survey,2,50,4
Gabon,GAB,Household Income and Expenditure Survey,0,0,2
Gabon,GAB,Labour Force Survey,0,0,10
Gabon,GAB,Time Use Survey,0,0,2
Gambia,GMB,Agricultural Survey/Census,2,100,2
Gambia,GMB,Household Health Survey,4,100,4
Gambia,GMB,Household Income and Expenditure Survey,1,50,2
Gambia,GMB,Labour Force Survey,2,20,10
Gambia,GMB,Time Use Survey,0,0,2
Georgia,GEO,Agricultural Survey/Census,6,100,2
Georgia,GEO,Household Health Survey,1,25,4
Georgia,GEO,Household Income and Expenditure Survey,10,100,2
Georgia,GEO,Labour Force Survey,7,70,10
Georgia,GEO,Time Use Survey,1,50,2
Germany,DEU,Agricultural Survey/Census,2,100,2
Germany,DEU,Household Health Survey,0,0,4
Germany,DEU,Household Income and Expenditure Survey,0,0,2
Germany,DEU,Labour Force Survey,1,10,10
Germany,DEU,Time Use Survey,1,50,2
Ghana,GHA,Agricultural Survey/Census,5,100,2
Ghana,GHA,Household Health Survey,6,100,4
Ghana,GHA,Household Income and Expenditure Survey,4,100,2
Ghana,GHA,Labour Force Survey,2,20,10
Ghana,GHA,Time Use Survey,0,0,2
Greece,GRC,Agricultural Survey/Census,2,100,2
Greece,GRC,Household Health Survey,0,0,4
Greece,GRC,Household Income and Expenditure Survey,5,100,2
Greece,GRC,Labour Force Survey,10,100,10
Greece,GRC,Time Use Survey,0,0,2
Grenada,GRD,Agricultural Survey/Census,2,100,2
Grenada,GRD,Household Health Survey,0,0,4
Grenada,GRD,Household Income and Expenditure Survey,0,0,2
Grenada,GRD,Labour Force Survey,7,70,10
Grenada,GRD,Time Use Survey,0,0,2
Guadeloupe,GLP,Agricultural Survey/Census,2,100,2
Guadeloupe,GLP,Household Health Survey,0,0,4
Guadeloupe,GLP,Household Income and Expenditure Survey,0,0,2
Guadeloupe,GLP,Labour Force Survey,1,10,10
Guadeloupe,GLP,Time Use Survey,0,0,2
Guam,GUM,Agricultural Survey/Census,2,100,2
Guam,GUM,Household Health Survey,0,0,4
Guam,GUM,Household Income and Expenditure Survey,0,0,2
Guam,GUM,Labour Force Survey,1,10,10
Guam,GUM,Time Use Survey,0,0,2
Guatemala,GTM,Agricultural Survey/Census,1,50,2
Guatemala,GTM,Household Health Survey,1,25,4
Guatemala,GTM,Household Income and Expenditure Survey,4,100,2
Guatemala,GTM,Labour Force Survey,10,100,10
Guatemala,GTM,Time Use Survey,0,0,2
Guinea,GIN,Agricultural Survey/Census,1,50,2
Guinea,GIN,Household Health Survey,4,100,4
Guinea,GIN,Household Income and Expenditure Survey,0,0,2
Guinea,GIN,Labour Force Survey,1,10,10
Guinea,GIN,Time Use Survey,0,0,2
Guinea-Bissau,GNB,Agricultural Survey/Census,1,50,2
Guinea-Bissau,GNB,Household Health Survey,2,50,4
Guinea-Bissau,GNB,Household Income and Expenditure Survey,4,100,2
Guinea-Bissau,GNB,Labour Force Survey,2,20,10
Guinea-Bissau,GNB,Time Use Survey,0,0,2
Guyana,GUY,Agricultural Survey/Census,1,50,2
Guyana,GUY,Household Health Survey,2,50,4
Guyana,GUY,Household Income and Expenditure Survey,1,50,2
Guyana,GUY,Labour Force Survey,3,30,10
Guyana,GUY,Time Use Survey,0,0,2
Haiti,HTI,Agricultural Survey/Census,3,100,2
Haiti,HTI,Household Health Survey,2,50,4
Haiti,HTI,Household Income and Expenditure Survey,4,100,2
Haiti,HTI,Labour Force Survey,0,0,10
Haiti,HTI,Time Use Survey,0,0,2
Honduras,HND,Agricultural Survey/Census,2,100,2
Honduras,HND,Household Health Survey,1,25,4
Honduras,HND,Household Income and Expenditure Survey,2,100,2
Honduras,HND,Labour Force Survey,0,0,10
Honduras,HND,Time Use Survey,0,0,2
Hong Kong SAR China,HKG,Agricultural Survey/Census,0,0,2
Hong Kong SAR China,HKG,Household Health Survey,0,0,4
Hong Kong SAR China,HKG,Household Income and Expenditure Survey,0,0,2
Hong Kong SAR China,HKG,Labour Force Survey,10,100,10
Hong Kong SAR China,HKG,Time Use Survey,0,0,2
Hungary,HUN,Agricultural Survey/Census,2,100,2
Hungary,HUN,Household Health Survey,0,0,4
Hungary,HUN,Household Income and Expenditure Survey,1,50,2
Hungary,HUN,Labour Force Survey,10,100,10
Hungary,HUN,Time Use Survey,0,0,2
Iceland,ISL,Agricultural Survey/Census,2,100,2
Iceland,ISL,Household Health Survey,0,0,4
Iceland,ISL,Household Income and Expenditure Survey,1,50,2
Iceland,ISL,Labour Force Survey,0,0,10
Iceland,ISL,Time Use Survey,0,0,2
India,IND,Agricultural Survey/Census,3,100,2
India,IND,Household Health Survey,3,75,4
India,IND,Household Income and Expenditure Survey,8,100,2
India,IND,Labour Force Survey,10,100,10
India,IND,Time Use Survey,2,100,2
Indonesia,IDN,Agricultural Survey/Census,10,100,2
Indonesia,IDN,Household Health Survey,3,75,4
Indonesia,IDN,Household Income and Expenditure Survey,2,100,2
Indonesia,IDN,Labour Force Survey,10,100,10
Indonesia,IDN,Time Use Survey,0,0,2
Iran,IRN,Agricultural Survey/Census,1,50,2
Iran,IRN,Household Health Survey,0,0,4
Iran,IRN,Household Income and Expenditure Survey,7,100,2
Iran,IRN,Labour Force Survey,10,100,10
Iran,IRN,Time Use Survey,2,100,2
Iraq,IRQ,Agricultural Survey/Census,3,100,2
Iraq,IRQ,Household Health Survey,3,75,4
Iraq,IRQ,Household Income and Expenditure Survey,2,100,2
Iraq,IRQ,Labour Force Survey,1,10,10
Iraq,IRQ,Time Use Survey,0,0,2
Ireland,IRL,Agricultural Survey/Census,2,100,2
Ireland,IRL,Household Health Survey,0,0,4
Ireland,IRL,Household Income and Expenditure Survey,1,50,2
Ireland,IRL,Labour Force Survey,10,100,10
Ireland,IRL,Time Use Survey,0,0,2
Israel,ISR,Agricultural Survey/Census,1,50,2
Israel,ISR,Household Health Survey,0,0,4
Israel,ISR,Household Income and Expenditure Survey,0,0,2
Israel,ISR,Labour Force Survey,10,100,10
Israel,ISR,Time Use Survey,0,0,2
Italy,ITA,Agricultural Survey/Census,2,100,2
Italy,ITA,Household Health Survey,0,0,4
Italy,ITA,Household Income and Expenditure Survey,6,100,2
Italy,ITA,Labour Force Survey,10,100,10
Italy,ITA,Time Use Survey,0,0,2
Jamaica,JAM,Agricultural Survey/Census,1,50,2
Jamaica,JAM,Household Health Survey,1,25,4
Jamaica,JAM,Household Income and Expenditure Survey,1,50,2
Jamaica,JAM,Labour Force Survey,10,100,10
Jamaica,JAM,Time Use Survey,0,0,2
Japan,JPN,Agricultural Survey/Census,2,100,2
Japan,JPN,Household Health Survey,0,0,4
Japan,JPN,Household Income and Expenditure Survey,0,0,2
Japan,JPN,Labour Force Survey,10,100,10
Japan,JPN,Time Use Survey,2,100,2
Jordan,JOR,Agricultural Survey/Census,2,100,2
Jordan,JOR,Household Health Survey,2,50,4
Jordan,JOR,Household Income and Expenditure Survey,0,0,2
Jordan,JOR,Labour Force Survey,7,70,10
Jordan,JOR,Time Use Survey,0,0,2
Kazakhstan,KAZ,Agricultural Survey/Census,1,50,2
Kazakhstan,KAZ,Household Health Survey,2,50,4
Kazakhstan,KAZ,Household Income and Expenditure Survey,3,100,2
Kazakhstan,KAZ,Labour Force Survey,2,20,10
Kazakhstan,KAZ,Time Use Survey,1,50,2
Kenya,KEN,Agricultural Survey/Census,1,50,2
Kenya,KEN,Household Health Survey,7,100,4
Kenya,KEN,Household Income and Expenditure Survey,5,100,2
Kenya,KEN,Labour Force Survey,1,10,10
Kenya,KEN,Time Use Survey,1,50,2
Kiribati,KIR,Agricultural Survey/Census,1,50,2
Kiribati,KIR,Household Health Survey,1,25,4
Kiribati,KIR,Household Income and Expenditure Survey,2,100,2
Kiribati,KIR,Labour Force Survey,0,0,10
Kiribati,KIR,Time Use Survey,0,0,2
Kosovo,XKX,Agricultural Survey/Census,0,0,2
Kosovo,XKX,Household Health Survey,2,50,4
Kosovo,XKX,Household Income and Expenditure Survey,2,100,2
Kosovo,XKX,Labour Force Survey,10,100,10
Kosovo,XKX,Time Use Survey,0,0,2
Kuwait,KWT,Agricultural Survey/Census,0,0,2
Kuwait,KWT,Household Health Survey,0,0,4
Kuwait,KWT,Household Income and Expenditure Survey,0,0,2
Kuwait,KWT,Labour Force Survey,1,10,10
Kuwait,KWT,Time Use Survey,0,0,2
Kyrgyzstan,KGZ,Agricultural Survey/Census,1,50,2
Kyrgyzstan,KGZ,Household Health Survey,4,100,4
Kyrgyzstan,KGZ,Household Income and Expenditure Survey,6,100,2
Kyrgyzstan,KGZ,Labour Force Survey,10,100,10
Kyrgyzstan,KGZ,Time Use Survey,2,100,2
Laos,LAO,Agricultural Survey/Census,2,100,2
Laos,LAO,Household Health Survey,2,50,4
Laos,LAO,Household Income and Expenditure Survey,1,50,2
Laos,LAO,Labour Force Survey,3,30,10
Laos,LAO,Time Use Survey,0,0,2
Latvia,LVA,Agricultural Survey/Census,2,100,2
Latvia,LVA,Household Health Survey,0,0,4
Latvia,LVA,Household Income and Expenditure Survey,1,50,2
Latvia,LVA,Labour Force Survey,10,100,10
Latvia,LVA,Time Use Survey,0,0,2
Lebanon,LBN,Agricultural Survey/Census,2,100,2
Lebanon,LBN,Household Health Survey,2,50,4
Lebanon,LBN,Household Income and Expenditure Survey,0,0,2
Lebanon,LBN,Labour Force Survey,1,10,10
