country,iso3c,year,status,instrument_name,instrument_type,source
United Arab Emirates,ARE,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Argentina,ARG,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Argentina,ARG,2012,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Argentina,ARG,2017,completed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,HIES,https://microdata.worldbank.org/index.php/catalog/lsms
Argentina,ARG,2019,completed,"Good Growth Plan, 2014-2019",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Argentina,ARG,2019,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Argentina,ARG,2020,Data processing / analysis,MICS,Household health survey,https://mics.unicef.org/surveys
Argentina,ARG,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Armenia,ARM,2010,completed,Integrated Living Conditions Survey 2010,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2010,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Armenia,ARM,2011,completed,Integrated Living Conditions Survey 2011,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2011,completed,Water to Market Farmer Training 2007-2011,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Armenia,ARM,2012,completed,Integrated Living Conditions Survey 2012,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2012,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Armenia,ARM,2013,completed,Integrated Living Conditions Survey 2013,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2014,completed,Integrated Living Conditions Survey 2014,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2014,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Armenia,ARM,2015,completed,Integrated Living Conditions Survey 2015,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2016,completed,Integrated Living Conditions Survey 2016,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2016,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Armenia,ARM,2017,completed,Integrated Living Conditions Survey 2017,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2018,completed,Integrated Living Conditions Survey 2018,Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Armenia,ARM,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Armenia,ARM,2020,completed,"COVID-19 High Frequency Survey of Households and Children 2020, Wave 1, Surveys I & II",HIES,https://microdata.worldbank.org/index.php/catalog/lsms
American Samoa,ASM,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
American Samoa,ASM,2020,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Antigua & Barbuda,ATG,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Australia,AUS,2011,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Australia,AUS,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Australia,AUS,2016,completed,"Good Growth Plan, 2014-2016",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Australia,AUS,2016,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Australia,AUS,2016,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Australia,AUS,2016,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Austria,AUT,2010,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Austria,AUT,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Austria,AUT,2012,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Austria,AUT,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Austria,AUT,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Azerbaijan,AZE,2015,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Azerbaijan,AZE,2019,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Azerbaijan,AZE,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Burundi,BDI,2010,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Burundi,BDI,2012,Completed,MIS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Burundi,BDI,2016,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Belgium,BEL,2010,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Belgium,BEL,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Belgium,BEL,2012,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Belgium,BEL,2017,completed,"Good Growth Plan, 2014-2017",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Belgium,BEL,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Belgium,BEL,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Benin,BEN,2012,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Benin,BEN,2013,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Benin,BEN,2014,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Benin,BEN,2017,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Benin,BEN,2018,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Benin,BEN,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Burkina Faso,BFA,2010,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Burkina Faso,BFA,2010,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Burkina Faso,BFA,2014,completed,Enquête Multisectorielle Continue 2014,HIES,https://microdata.worldbank.org/index.php/catalog/lsms
Burkina Faso,BFA,2014,Completed,MIS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Burkina Faso,BFA,2015,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Burkina Faso,BFA,2017,completed,Livelihoods Programme Monitoring Beneficiary Survey in 2017,HIES,https://microdata.worldbank.org/index.php/catalog/lsms
Burkina Faso,BFA,2017,Completed,MIS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Burkina Faso,BFA,2019,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Burkina Faso,BFA,2019,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Burkina Faso,BFA,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Burkina Faso,BFA,2020,completed,COVID-19 High Frequency Phone Survey 2020,HIES,https://microdata.worldbank.org/index.php/catalog/lsms
Bangladesh,BGD,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bangladesh,BGD,2011,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Bangladesh,BGD,2012,Completed,Time use pilot survey 2012,Time Use Survey,https://unstats.un.org/unsd/gender/timeuse and manual ODW check of NSO websites
Bangladesh,BGD,2013,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Bangladesh,BGD,2014,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Bangladesh,BGD,2016,completed,"Poverty and Groundwater Salinity Survey, 2016",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Bangladesh,BGD,2016,completed,"Smallholder Household Survey - CGAP, 2016",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Bangladesh,BGD,2017,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Bangladesh,BGD,2017,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Bangladesh,BGD,2019,completed,"Good Growth Plan, 2014-2019",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Bangladesh,BGD,2019,completed,"Chattogram Low Income Area Gender, Inclusion, and Poverty Survey 2019",HIES,https://microdata.worldbank.org/index.php/catalog/lsms
Bangladesh,BGD,2019,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Bangladesh,BGD,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Bulgaria,BGR,2010,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Bulgaria,BGR,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bulgaria,BGR,2012,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Bulgaria,BGR,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Bahrain,BHR,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bahrain,BHR,2015,Completed,Official estimate,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Bahrain,BHR,2020,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bahamas,BHS,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bahamas,BHS,2018,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Bosnia & Herzegovina,BIH,2012,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Bosnia & Herzegovina,BIH,2013,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bosnia & Herzegovina,BIH,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
St. Barthélemy,BLM,2015,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Belarus,BLR,2012,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Belarus,BLR,2015,Completed,Official estimate,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Belarus,BLR,2019,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Belarus,BLR,2019,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Belarus,BLR,2019,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Belarus,BLR,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Belize,BLZ,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Belize,BLZ,2011,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Belize,BLZ,2011,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Belize,BLZ,2016,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Belize,BLZ,2019,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Belize,BLZ,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Bermuda,BMU,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bermuda,BMU,2014,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Bermuda,BMU,2016,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bolivia,BOL,2012,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bolivia,BOL,2013,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Bolivia,BOL,2018,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Bolivia,BOL,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Brazil,BRA,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Brazil,BRA,2015,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Brazil,BRA,2015,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Brazil,BRA,2017,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Brazil,BRA,2019,completed,"Good Growth Plan, 2014-2019",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Barbados,BRB,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Barbados,BRB,2012,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Barbados,BRB,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Brunei,BRN,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Brunei,BRN,2011,Completed,Official estimate,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Brunei,BRN,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Bhutan,BTN,2010,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Bhutan,BTN,2010,Completed,Gross National Happiness Survey 2010,Time Use Survey,https://unstats.un.org/unsd/gender/timeuse and manual ODW check of NSO websites
Bhutan,BTN,2017,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Bhutan,BTN,2019,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Bhutan,BTN,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Botswana,BWA,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Botswana,BWA,2013,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Botswana,BWA,2015,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Botswana,BWA,2020,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Central African Republic,CAF,2010,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Central African Republic,CAF,2019,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Canada,CAN,2011,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Canada,CAN,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Canada,CAN,2016,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Canada,CAN,2016,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Switzerland,CHE,2010,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Switzerland,CHE,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Switzerland,CHE,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Switzerland,CHE,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Chile,CHL,2012,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Chile,CHL,2017,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Chile,CHL,2020,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
China,CHN,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
China,CHN,2016,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
China,CHN,2019,completed,"Good Growth Plan, 2014-2019",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
China,CHN,2019,Completed,Official estimate,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
China,CHN,2020,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Côte d’Ivoire,CIV,2012,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Côte d’Ivoire,CIV,2014,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Côte d’Ivoire,CIV,2016,completed,"Smallholder Household Survey - CGAP, 2016",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Côte d’Ivoire,CIV,2016,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Côte d’Ivoire,CIV,2016,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Côte d’Ivoire,CIV,2016,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Côte d’Ivoire,CIV,2017,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Côte d’Ivoire,CIV,2019,completed,"Good Growth Plan, 2014-2019",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Côte d’Ivoire,CIV,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Cameroon,CMR,2011,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Cameroon,CMR,2014,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Cameroon,CMR,2014,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Cameroon,CMR,2018,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Congo - Kinshasa,COD,2010,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Congo - Kinshasa,COD,2012,completed,"Livelihoods, Basic Services, Social Protection and Perceptions of the State in Conflict-affected Situations Household Survey 2012",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Congo - Kinshasa,COD,2012,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Congo - Kinshasa,COD,2013,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Congo - Kinshasa,COD,2018,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Congo - Brazzaville,COG,2011,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Congo - Brazzaville,COG,2012,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Congo - Brazzaville,COG,2015,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Congo - Brazzaville,COG,2015,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Congo - Brazzaville,COG,2015,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Congo - Brazzaville,COG,2015,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Cook Islands,COK,2011,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Cook Islands,COK,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Cook Islands,COK,2016,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Cook Islands,COK,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Colombia,COL,2010,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Colombia,COL,2014,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Colombia,COL,2015,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Colombia,COL,2018,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Colombia,COL,2019,completed,"Good Growth Plan, 2014-2019",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Comoros,COM,2012,Completed,DHS,Household health survey,https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#
Comoros,COM,2014,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Comoros,COM,2017,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Cape Verde,CPV,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Cape Verde,CPV,2015,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Cape Verde,CPV,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Costa Rica,CRI,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Costa Rica,CRI,2011,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Costa Rica,CRI,2014,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Costa Rica,CRI,2016,completed,"Good Growth Plan, 2014-2016",Agricultural Survey/Census,https://microdata.fao.org/index.php/catalog
Costa Rica,CRI,2018,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Costa Rica,CRI,2019,Completed,Encuesta Nacional Agropecuaria,Agricultural Survey/Census,http://www.fao.org/documents/card/en/c/cb3976en
Costa Rica,CRI,2019,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Cuba,CUB,2011,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Cuba,CUB,2012,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Cuba,CUB,2014,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Cuba,CUB,2018,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Cuba,CUB,2019,Completed,MICS,Household health survey,https://mics.unicef.org/surveys
Curaçao,CUW,2020,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Cayman Islands,CYM,2010,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Cayman Islands,CYM,2015,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Cyprus,CYP,2010,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Cyprus,CYP,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Cyprus,CYP,2012,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Czechia,CZE,2010,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Czechia,CZE,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Czechia,CZE,2012,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Czechia,CZE,2019,Completed,Labour force survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
Czechia,CZE,2020,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Germany,DEU,2010,completed,Agriculture Census,Agricultural Survey/Census,http://www.fao.org/world-census-agriculture/wcarounds/en/
Germany,DEU,2011,Complete,Population Census,Census,https://unstats.un.org/unsd/demographic-social/census/censusdates/
Germany,DEU,2012,Completed,Other household survey,Labor Force Survey,https://ilostat.ilo.org/data/national-sources-catalogue/
