"","idno","formid","form_model","title","nation","year_start","year_end","repositoryid","created","changed","varcount","total_views","authoring_entity","total_downloads","rank","type","id","url","link_da","thumbnail","iso3c","status","source","study_type","meta_data_field","year"
"11","COL_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Colombia",2021,2021,"central","2022-05-03T12:46:09+00:00","2022-05-05T18:51:29+00:00",485,515,"UN Refugee Agency (UNHCR)",0,1,"survey",10232,"https://catalog.ihsn.org/catalog/10232",NA,NA,"COL","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"12","COL_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Colombia",2021,2021,"central","2022-09-07T14:35:12+00:00","2022-09-07T14:35:12+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10373,"https://catalog.ihsn.org/catalog/10373","https://microdata.worldbank.org/index.php/catalog/4561",NA,"COL","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"13","CRI_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Costa Rica",2021,2021,"central","2022-09-07T14:35:39+00:00","2022-09-07T14:35:39+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10374,"https://catalog.ihsn.org/catalog/10374","https://microdata.worldbank.org/index.php/catalog/4562",NA,"CRI","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"14","DMA_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Dominica",2021,2021,"central","2022-09-07T14:36:08+00:00","2022-09-07T14:36:08+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10375,"https://catalog.ihsn.org/catalog/10375","https://microdata.worldbank.org/index.php/catalog/4573",NA,"DMA","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"15","DOM_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Dominican Republic",2021,2021,"central","2022-09-07T14:36:26+00:00","2022-09-07T14:36:26+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10376,"https://catalog.ihsn.org/catalog/10376","https://microdata.worldbank.org/index.php/catalog/4563",NA,"DOM","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"16","ECU_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Ecuador",2021,2021,"central","2022-05-03T12:46:17+00:00","2022-05-05T18:51:37+00:00",485,529,"UN Refugee Agency (UNHCR)",0,1,"survey",10237,"https://catalog.ihsn.org/catalog/10237",NA,NA,"ECU","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"17","ECU_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Ecuador",2021,2021,"central","2022-09-07T14:37:12+00:00","2022-09-07T14:37:12+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10378,"https://catalog.ihsn.org/catalog/10378","https://microdata.worldbank.org/index.php/catalog/4564",NA,"ECU","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"18","SLV_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","El Salvador",2021,2021,"central","2022-09-07T14:48:38+00:00","2022-09-07T14:48:38+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10399,"https://catalog.ihsn.org/catalog/10399","https://microdata.worldbank.org/index.php/catalog/4565",NA,"SLV","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"19","GTM_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Guatemala",2021,2021,"central","2022-05-03T12:46:22+00:00","2022-05-05T18:51:42+00:00",485,530,"UN Refugee Agency (UNHCR)",0,1,"survey",10240,"https://catalog.ihsn.org/catalog/10240",NA,NA,"GTM","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"20","GTM_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Guatemala",2021,2021,"central","2022-09-07T14:38:00+00:00","2022-09-07T14:38:00+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10380,"https://catalog.ihsn.org/catalog/10380","https://microdata.worldbank.org/index.php/catalog/4566",NA,"GTM","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"21","GUY_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Guyana",2021,2021,"central","2022-09-07T14:38:54+00:00","2022-09-07T14:38:54+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10381,"https://catalog.ihsn.org/catalog/10381","https://microdata.worldbank.org/index.php/catalog/4574",NA,"GUY","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"22","HTI_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Haiti",2021,2021,"central","2022-09-07T14:39:53+00:00","2022-09-07T14:39:53+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10383,"https://catalog.ihsn.org/catalog/10383","https://microdata.worldbank.org/index.php/catalog/4575",NA,"HTI","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"23","HND_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Honduras",2021,2021,"central","2022-09-07T14:39:25+00:00","2022-09-07T14:39:25+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10382,"https://catalog.ihsn.org/catalog/10382","https://microdata.worldbank.org/index.php/catalog/4567",NA,"HND","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"24","JAM_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Jamaica",2021,2021,"central","2022-09-07T14:40:21+00:00","2022-09-07T14:40:21+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10384,"https://catalog.ihsn.org/catalog/10384","https://microdata.worldbank.org/index.php/catalog/4576",NA,"JAM","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"25","LCA_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","St. Lucia",2021,2021,"central","2022-12-05T19:24:34+00:00","2022-12-05T19:24:34+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10642,"https://catalog.ihsn.org/catalog/10642","https://microdata.worldbank.org/index.php/catalog/4579",NA,"LCA","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"26","MYS_2021_HFS_v01_M",5,"remote","High-Frequency Monitoring of COVID-19 Impacts in Malaysia 2021, Rounds 1-2","Malaysia",2021,2021,"central","2022-05-11T14:32:23+00:00","2022-05-11T14:32:23+00:00",445,648,"World Bank",19,1,"survey",10296,"https://catalog.ihsn.org/catalog/10296",NA,NA,"MYS","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"27","MEX_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Mexico",2021,2021,"central","2022-09-07T14:44:49+00:00","2022-09-07T14:44:49+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10391,"https://catalog.ihsn.org/catalog/10391","https://microdata.worldbank.org/index.php/catalog/4568",NA,"MEX","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"28","NIC_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Nicaragua",2021,2021,"central","2022-09-07T14:45:54+00:00","2022-09-07T14:45:54+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10393,"https://catalog.ihsn.org/catalog/10393","https://microdata.worldbank.org/index.php/catalog/4577",NA,"NIC","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"29","PAN_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Panama",2021,2021,"central","2022-05-03T12:46:26+00:00","2022-05-05T18:51:47+00:00",485,548,"UN Refugee Agency (UNHCR)",0,1,"survey",10243,"https://catalog.ihsn.org/catalog/10243",NA,NA,"PAN","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"30","PAN_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Panama",2021,2021,"central","2022-09-07T14:46:29+00:00","2022-09-07T14:46:29+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10394,"https://catalog.ihsn.org/catalog/10394","https://microdata.worldbank.org/index.php/catalog/4578",NA,"PAN","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"31","PRY_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Paraguay",2021,2021,"central","2022-09-07T14:47:56+00:00","2022-09-07T14:47:57+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10397,"https://catalog.ihsn.org/catalog/10397","https://microdata.worldbank.org/index.php/catalog/4569",NA,"PRY","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"32","PER_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Peru",2021,2021,"central","2022-05-03T12:46:31+00:00","2022-05-05T18:51:52+00:00",485,556,"UN Refugee Agency (UNHCR)",0,1,"survey",10246,"https://catalog.ihsn.org/catalog/10246",NA,NA,"PER","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"33","PER_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Peru",2021,2021,"central","2022-09-07T14:47:06+00:00","2022-09-07T14:47:06+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10395,"https://catalog.ihsn.org/catalog/10395","https://microdata.worldbank.org/index.php/catalog/4570",NA,"PER","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"34","SUR_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Suriname",2021,2021,"central","2022-05-03T12:46:34+00:00","2022-05-05T18:51:57+00:00",485,530,"UN Refugee Agency (UNHCR)",0,1,"survey",10249,"https://catalog.ihsn.org/catalog/10249",NA,NA,"SUR","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"35","UGA_2021_PDM-NFI-Q1_v01_M",5,"remote","Post Distribution Monitoring of Non-Food Items - Menstrual Hygiene Management Kits 2021, Quarter 1","Uganda",2021,2021,"central","2022-03-31T20:17:51+00:00","2022-04-13T15:27:58+00:00",79,260,"UN Refugee Agency (UNHCR)",6,1,"survey",10200,"https://catalog.ihsn.org/catalog/10200",NA,NA,"UGA","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"36","UGA_2021_PDM-Soap-Q1_v01_M",5,"remote","Post-Distribution Monitoring of Non-Food Items, Soap 2021, Quarter 1","Uganda",2021,2021,"central","2022-04-13T13:57:13+00:00","2022-04-13T14:11:15+00:00",44,99,"UN Refugee Agency (UNHCR)",7,1,"survey",10208,"https://catalog.ihsn.org/catalog/10208",NA,NA,"UGA","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"37","URY_2021_HFS-Q1Q2_v01_M",5,"remote","High Frequency Survey 2021, Quarter 1 and 2","Uruguay",2021,2021,"central","2022-05-03T12:46:36+00:00","2022-05-05T18:51:59+00:00",485,561,"UN Refugee Agency (UNHCR)",0,1,"survey",10250,"https://catalog.ihsn.org/catalog/10250",NA,NA,"URY","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"38","URY_2021_HFPS_v02_M",5,"remote","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","Uruguay",2021,2021,"central","2022-09-07T14:49:43+00:00","2022-09-07T14:49:43+00:00",0,0,"Carolina Mejía, Gabriel Lara Ibarra, Adriana Camacho, Javier Romero",0,1,"survey",10403,"https://catalog.ihsn.org/catalog/10403","https://microdata.worldbank.org/index.php/catalog/4580",NA,"URY","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"39","ZWE_2021_ISBS-COVID19-R1_v01_M",5,"remote","Informal Businesses COVID-19 Impact Survey 2021, Round 1","Zimbabwe",2021,2021,"central","2022-01-03T15:27:49+00:00","2022-01-03T15:27:49+00:00",111,100,"World Bank Group",8,1,"survey",9944,"https://catalog.ihsn.org/catalog/9944",NA,NA,"ZWE","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2021"
"40","ZAF_2020_QLFS-Q1_v01_M",5,"remote","Quarterly Labour Force Survey 2020, Quarter 1","South Africa",2020,2020,"central","2021-01-19T01:55:16+00:00","2021-01-19T01:55:16+00:00",161,573,"Statistics South Africa",91,1,"survey",9537,"https://catalog.ihsn.org/catalog/9537",NA,NA,"ZAF","Completed","https://catalog.ihsn.org/catalog","Labor Force Survey [hh/lfs]","Study Type","2020"
"41","ZAF_2020_NIDS-CRAM-W1_v02_M",5,"remote","National Income Dynamics Study - Coronavirus Rapid Mobile Survey 2020, Wave 1","South Africa",2020,2020,"central","2021-01-16T02:18:25+00:00","2021-01-16T02:18:25+00:00",203,354,"Nic Spaull, Ronelle Burger, Rulof Burger, David Carel, Reza Daniels, Nwabisa Makaluza, Dorrit Posel, Vimal Ranchhod, Servaas van der Berg, Gabrielle Wills",27,1,"survey",8529,"https://catalog.ihsn.org/catalog/8529",NA,NA,"ZAF","Completed","https://catalog.ihsn.org/catalog","Other Household Survey [hh/oth]","Study Type","2020"
"42","ALB_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Albania",2020,2020,"central","2022-05-11T11:14:45+00:00","2022-05-11T11:14:46+00:00",85,125,"World Bank Group",6,1,"survey",10252,"https://catalog.ihsn.org/catalog/10252",NA,NA,"ALB","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"43","ARM_2020_HFPS_v03_M",5,"remote","COVID-19 High Frequency Survey of Households and Children 2020-2021, Waves 1 and 2","Armenia",2020,2021,"central","2021-03-22T20:04:01+00:00","2021-03-22T20:04:01+00:00",795,555,"United Nations Children's Fund, Poverty and Equity Global Practice, Social Protection and Jobs Global Practice",43,1,"survey",9573,"https://catalog.ihsn.org/catalog/9573",NA,NA,"ARM","Completed","https://catalog.ihsn.org/catalog","Socio-Economic/Monitoring Survey [hh/sems]","Study Type","2020/21"
"44","BGD_2020_CBPS-HFT_v01_M",5,"remote","Cox’s Bazar Panel Survey, High-Frequency Tracking Survey 2020-2021, Round 1, 2 and 3","Bangladesh",2020,2021,"central","2022-06-06T17:31:53+00:00","2022-06-06T17:33:24+00:00",860,478,"The World Bank",24,1,"survey",10324,"https://catalog.ihsn.org/catalog/10324",NA,NA,"BGD","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020/21"
"45","CYP_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Cyprus",2020,2020,"central","2022-05-11T13:51:43+00:00","2022-05-11T13:51:43+00:00",85,111,"World Bank Group",10,1,"survey",10259,"https://catalog.ihsn.org/catalog/10259",NA,NA,"CYP","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"46","DJI_2020_CNPPS-W1_v01_M",5,"remote","COVID-19 National Panel Phone Survey 2020, Wave 1","Djibouti",2020,2020,"central","2021-01-16T02:18:27+00:00","2021-01-16T02:18:27+00:00",152,523,"Poverty and Equity Global Practice",57,1,"survey",8531,"https://catalog.ihsn.org/catalog/8531",NA,NA,"DJI","Completed","https://catalog.ihsn.org/catalog","Other Household Survey [hh/oth]","Study Type","2020"
"47","GEO_2020_COVID-19_v01_M",5,"remote","Covid-19 Monitor 2020, Waves 1-6","Georgia",2020,2020,"central","2021-03-22T20:03:43+00:00","2021-03-22T20:03:43+00:00",1034,1613,"Caucasus Research Resource Centers Georgia (CRRC Georgia)",0,1,"survey",9561,"https://catalog.ihsn.org/catalog/9561",NA,NA,"GEO","Completed","https://catalog.ihsn.org/catalog","Socio-Economic/Monitoring Survey [hh/sems]","Study Type","2020"
"48","GEO_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Georgia",2020,2020,"central","2022-05-11T13:51:48+00:00","2022-05-11T13:51:48+00:00",83,113,"World Bank Group",6,1,"survey",10261,"https://catalog.ihsn.org/catalog/10261",NA,NA,"GEO","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"49","GTM_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Guatemala",2020,2020,"central","2022-05-11T13:52:05+00:00","2022-05-11T13:52:05+00:00",98,62,"World Bank Group",8,1,"survey",10265,"https://catalog.ihsn.org/catalog/10265",NA,NA,"GTM","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"50","GIN_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Guinea",2020,2020,"central","2022-05-11T13:51:54+00:00","2022-05-11T13:51:54+00:00",92,64,"World Bank Group",10,1,"survey",10263,"https://catalog.ihsn.org/catalog/10263",NA,NA,"GIN","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"51","HUN_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Hungary",2020,2020,"central","2022-05-11T13:56:38+00:00","2022-05-11T13:56:38+00:00",86,110,"World Bank Group",10,1,"survey",10269,"https://catalog.ihsn.org/catalog/10269",NA,NA,"HUN","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"52","IND_2020_COVIDRS_v01_M",5,"remote","COVID-19-Related Shocks in Rural India 2020, Rounds 1-3","India",2020,2020,"central","2021-03-22T20:03:33+00:00","2021-03-22T20:03:33+00:00",1557,2346,"World Bank",0,1,"survey",9553,"https://catalog.ihsn.org/catalog/9553",NA,NA,"IND","Completed","https://catalog.ihsn.org/catalog","1-2-3 Survey, phase 3 [hh/123-3]","Study Type","2020"
"53","IND_2020_COVIDRS-R1_v01_M",5,"remote","COVID-19 Related Shocks Survey in Rural India 2020, Round 1","India",2020,2020,"central","2021-01-19T01:52:46+00:00","2021-01-19T01:52:46+00:00",476,1283,"World Bank",55,1,"survey",9466,"https://catalog.ihsn.org/catalog/9466",NA,NA,"IND","Completed","https://catalog.ihsn.org/catalog","Other Household Survey [hh/oth]","Study Type","2020"
"54","IDN_2020_HFMCI_v06_M",5,"remote","High-Frequency Monitoring of COVID-19 Impacts Rounds 1-8, 2020-2023","Indonesia",2020,2023,"central","2022-09-07T19:10:51+00:00","2022-09-07T19:11:37+00:00",1572,3017,"World Bank",215,1,"survey",10404,"https://catalog.ihsn.org/catalog/10404","https://microdata.worldbank.org/index.php/catalog/3938",NA,"IDN","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020-2023"
"55","ITA_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Italy",2020,2020,"central","2022-05-11T14:07:29+00:00","2022-05-11T14:07:29+00:00",83,118,"World Bank Group",10,1,"survey",10277,"https://catalog.ihsn.org/catalog/10277",NA,NA,"ITA","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"56","JOR_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Jordan",2020,2020,"central","2022-05-11T14:11:53+00:00","2022-05-11T14:11:53+00:00",107,158,"World Bank Group",8,1,"survey",10280,"https://catalog.ihsn.org/catalog/10280",NA,NA,"JOR","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"57","KEN_2020_COVIDRS_v07_M",5,"remote","COVID-19 Rapid Response Phone Survey with Households 2020-2022, Panel, Waves 1-8","Kenya",2020,2022,"central","2021-01-16T02:18:15+00:00","2022-09-07T18:57:52+00:00",2137,3919,"Nistha Sinha",140,1,"survey",8523,"https://catalog.ihsn.org/catalog/8523",NA,NA,"KEN","Completed","https://catalog.ihsn.org/catalog","1-2-3 Survey, phase 1 [hh/123-1]","Study Type","2020-2022"
"58","KEN_2020_COVID-SEIR-W1_v01_M",5,"remote","Socio-Economic Impact of COVID-19 on Refugees - Round 1, 2020","Kenya",2020,2020,"central","2021-10-14T18:16:04+00:00","2021-10-14T18:16:04+00:00",1165,1170,"United Nations High Commissioner for Refugees (UNHCR)",0,1,"survey",9709,"https://catalog.ihsn.org/catalog/9709",NA,NA,"KEN","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"59","LVA_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Latvia",2020,2020,"central","2022-05-11T14:12:16+00:00","2022-05-11T14:12:16+00:00",86,120,"World Bank Group",13,1,"survey",10286,"https://catalog.ihsn.org/catalog/10286",NA,NA,"LVA","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"60","LBN_2020_MEED-W1-RON_v01_M",5,"remote","Monitoring of the Effects of Economic Deterioration on Non-Syrian Refugee Households Wave 1, 2020","Lebanon",2020,2020,"central","2021-10-14T18:16:47+00:00","2021-10-14T18:16:47+00:00",52,161,"UNHCR",0,1,"survey",9723,"https://catalog.ihsn.org/catalog/9723",NA,NA,"LBN","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"61","LBN_2020_MEED-W1-SYR_v01_M",5,"remote","Monitoring of the Effects of Economic Deterioration on Syrian Refugee Households Wave 1, 2020","Lebanon",2020,2020,"central","2021-10-14T18:16:48+00:00","2021-10-14T18:16:48+00:00",52,99,"United Nations High Commissioner for Refugees (UNHCR)",0,1,"survey",9724,"https://catalog.ihsn.org/catalog/9724",NA,NA,"LBN","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
"62","LTU_2020_ES-COVID19-R1_v01_M",5,"remote","Enterprise Survey Follow-up on COVID-19 2020, Round 1","Lithuania",2020,2020,"central","2022-05-11T14:12:11+00:00","2022-05-11T14:12:11+00:00",86,111,"World Bank Group",10,1,"survey",10284,"https://catalog.ihsn.org/catalog/10284",NA,NA,"LTU","Completed","https://catalog.ihsn.org/catalog",NA,NA,"2020"
