"","country","iso3c","year","instrument_name","instrument_type","status","source","census_round"
"111","Czechia","CZE",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"112","Denmark","DNK",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"113","Estonia","EST",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"114","Finland","FIN",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"115","France","FRA",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"116","Germany","DEU",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"117","Greece","GRC",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"118","Hungary","HUN",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"119","Iceland","ISL",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"120","Ireland","IRL",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"121","Italy","ITA",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"122","Latvia","LVA",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"123","Lithuania","LTU",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"124","Luxembourg","LUX",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"125","Macedonia","MKD",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"126","Malta","MLT",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"127","Moldova","MDA",2023,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"128","Montenegro","MNE",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"129","Netherlands","NLD",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"130","Norway","NOR",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"131","Poland","POL",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"132","Portugal","PRT",2019,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"133","Romania","ROU",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"134","Serbia","SRB",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"135","Slovakia","SVK",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"136","Slovenia","SVN",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"137","Spain","ESP",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"138","Sweden","SWE",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"139","Switzerland","CHE",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"140","United Kingdom","GBR",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"141","Australia","AUS",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"142","Australia","AUS",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"143","Cook Islands","COK",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"144","Fiji","FJI",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"145","Guam (US)","GUM",2018,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"146","Guam (US)","GUM",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"147","Kiribati","KIR",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"148","Marshall Islands","MHL",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"149","Micronesia Federal States of","FSM",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"150","Nauru","NRU",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"151","New Zealand","NZL",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"152","New Zealand","NZL",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"153","Niue","NIU",2021,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"154","North. Mariana Isl. (US)","MNP",2018,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"155","North. Mariana Isl. (US)","MNP",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"156","Palau","PLW",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"157","Samoa","WSM",2020,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"158","Solomon Isands","SLB",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"159","Tonga","TON",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"160","Tuvalu","TUV",2017,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"161","Vanuatu","VUT",2022,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2020"
"162","Botswana","BWA",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"163","Burkina Faso","BFA",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"164","Cabo Verde","CPV",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"165","Congo, Rep.","COG",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"166","Cote d'Ivoire","CIV",2016,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"167","Egypt","EGY",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"168","Equatorial Guinea","GNQ",2015,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"169","The Gambia","GMB",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"170","Lesotho","LSO",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"171","Malawi","MWI",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"172","Mauritius","MUS",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"173","Mozambique","MOZ",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"174","Namibia","NAM",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"175","Niger","NER",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"176","Reunion (Fr)","REU",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"177","Senegal","SEN",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"178","Seychelles","SYC",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"179","South Africa","ZAF",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"180","The Kingdom of Eswatini","SWZ",2013,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"181","Tanzania, Un. Rep. of","TZA",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"182","Togo","TGO",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"183","Uganda","UGA",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"184","Antigua and Barbuda","ATG",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"185","Belize","BLZ",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"186","Canada","CAN",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"187","Costa Rica","CRI",2014,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"188","El Salvador","SLV",2008,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"189","Grenada","GRD",2012,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"190","Guadeloupe (Fr)","GLP",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"191","Haiti","HTI",2009,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"192","Jamaica","JAM",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"193","Martinique (Fr)","MTQ",2010,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"194","Mexico","MEX",2007,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
"195","Nicaragua","NIC",2011,"Agriculture Census","Agricultural Survey/Census","completed","http://www.fao.org/world-census-agriculture/wcarounds/en/","2010"
