"","country","iso3c","year","status","instrument_name","instrument_type","source","census_round"
"62","Mali","MLI",2018,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"63","Mali","MLI",2021,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"64","Mauritania","MRT",2020,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"65","Mozambique","MOZ",2015,"Completed","AIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"66","Mozambique","MOZ",2018,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"67","Mozambique","MOZ",2022,"Ongoing","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"68","Myanmar (Burma)","MMR",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"69","Namibia","NAM",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"70","Nepal","NPL",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"71","Nepal","NPL",2022,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"72","Niger","NER",2021,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"73","Nigeria","NGA",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"74","Nigeria","NGA",2015,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"75","Nigeria","NGA",2018,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"76","Nigeria","NGA",2021,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"77","Pakistan","PAK",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"78","Pakistan","PAK",2019,"Completed","OTH","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"79","Papua New Guinea","PNG",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"80","Peru","PER",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"81","Peru","PER",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"82","Philippines","PHL",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"83","Philippines","PHL",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"84","Philippines","PHL",2022,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"85","Rwanda","RWA",2013,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"86","Rwanda","RWA",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"87","Rwanda","RWA",2017,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"88","Rwanda","RWA",2019,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"89","Senegal","SEN",2014,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"90","Senegal","SEN",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"91","Senegal","SEN",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"92","Senegal","SEN",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"93","Senegal","SEN",2018,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"94","Senegal","SEN",2019,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"95","Senegal","SEN",2020,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"96","Sierra Leone","SLE",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"97","Sierra Leone","SLE",2013,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"98","Sierra Leone","SLE",2016,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"99","Sierra Leone","SLE",2019,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"100","South Africa","ZAF",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"101","Sri Lanka","LKA",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"102","Tajikistan","TJK",2017,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"103","Tanzania","TZA",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"104","Tanzania","TZA",2017,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"105","Tanzania","TZA",2022,"Ongoing","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"106","Timor-Leste","TLS",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"107","Togo","TGO",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"108","Togo","TGO",2017,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"109","Turkey","TUR",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"110","Turkey","TUR",2018,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"111","Uganda","UGA",2014,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"112","Uganda","UGA",2016,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"113","Uganda","UGA",2018,"Completed","MIS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"114","Yemen","YEM",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"115","Zambia","ZMB",2013,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"116","Zambia","ZMB",2018,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"117","Zimbabwe","ZWE",2015,"Completed","DHS","Household health survey","https://dhsprogram.com/Methodology/survey-search.cfm?pgtype=main&SrvyTp=year#",NA
"118","Thailand","THA",2013,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"119","Uruguay","URY",2013,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"120","Algeria","DZA",2013,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"121","Mongolia","MNG",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"122","Thailand","THA",2016,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"123","Vietnam","VNM",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"124","Eswatini","SWZ",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"125","Malawi","MWI",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"126","Zimbabwe","ZWE",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"127","Kazakhstan","KAZ",2015,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"128","Kosovo","XKX",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"129","Kyrgyzstan","KGZ",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"130","Montenegro","MNE",2013,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"131","Serbia","SRB",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"132","Turkmenistan","TKM",2016,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"133","Belize","BLZ",2016,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"134","Cuba","CUB",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"135","Dominican Republic","DOM",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"136","El Salvador","SLV",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"137","Guyana","GUY",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"138","Mexico","MEX",2015,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"139","Panama","PAN",2013,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"140","Paraguay","PRY",2016,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"141","Oman","OMN",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"142","Palestinian Territories","PSE",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"143","Sudan","SDN",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"144","Bangladesh","BGD",2013,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"145","Nepal","NPL",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"146","Benin","BEN",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"147","Cameroon","CMR",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"148","Congo - Brazzaville","COG",2015,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"149","Côte d’Ivoire","CIV",2016,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"150","Guinea-Bissau","GNB",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"151","Guinea","GIN",2016,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"152","Mali","MLI",2015,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"153","Mauritania","MRT",2015,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"154","Nigeria","NGA",2017,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"155","São Tomé & Príncipe","STP",2014,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"156","Fiji","FJI",2021,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"157","Kiribati","KIR",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"158","North Korea","PRK",2017,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"159","Laos","LAO",2017,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"160","Mongolia","MNG",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"161","Samoa","WSM",2020,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"162","Thailand","THA",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"163","Thailand","THA",2022,"Data processing / analysis","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"164","Tonga","TON",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"165","Tuvalu","TUV",2020,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"166","Vietnam","VNM",2021,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"167","Comoros","COM",2022,"Data processing / analysis","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"168","Eswatini","SWZ",2022,"Data processing / analysis","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"169","Lesotho","LSO",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"170","Madagascar","MDG",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"171","Malawi","MWI",2020,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"172","Zimbabwe","ZWE",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"173","Belarus","BLR",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"174","Georgia","GEO",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"175","Kosovo","XKX",2020,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"176","Kyrgyzstan","KGZ",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"177","Montenegro","MNE",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"178","North Macedonia","MKD",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"179","Serbia","SRB",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"180","Turkmenistan","TKM",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"181","Uzbekistan","UZB",2022,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"182","Argentina","ARG",2020,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"183","Costa Rica","CRI",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"184","Cuba","CUB",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"185","Dominican Republic","DOM",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"186","Guyana","GUY",2020,"Data processing / analysis","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"187","Honduras","HND",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"188","Jamaica","JAM",2022,"Data processing / analysis","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"189","Suriname","SUR",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"190","Trinidad & Tobago","TTO",2022,"Data processing / analysis","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"191","Turks & Caicos Islands","TCA",2020,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"192","Algeria","DZA",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"193","Iraq","IRQ",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"194","Palestinian Territories","PSE",2020,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"195","Tunisia","TUN",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"196","Bangladesh","BGD",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"197","Nepal","NPL",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"198","Benin","BEN",2021,"Data processing / analysis","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"199","Central African Republic","CAF",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"200","Chad","TCD",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"201","Congo - Kinshasa","COD",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"202","Gambia","GMB",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"203","Ghana","GHA",2018,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"204","Guinea-Bissau","GNB",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"205","Nigeria","NGA",2021,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"206","São Tomé & Príncipe","STP",2019,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"207","Sierra Leone","SLE",2017,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"208","Togo","TGO",2017,"Completed","MICS","Household health survey","https://mics.unicef.org/surveys",NA
"209","Antigua and Barbuda","ATG",2021,"completed","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","HIES","https://microdata.worldbank.org/index.php/catalog/lsms",NA
"210","Argentina","ARG",2021,"completed","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 1","HIES","https://microdata.worldbank.org/index.php/catalog/lsms",NA
"211","Argentina","ARG",2021,"completed","COVID-19 LAC High Frequency Phone Surveys 2021, Wave 2","HIES","https://microdata.worldbank.org/index.php/catalog/lsms",NA
"212","Argentina","ARG",2020,"completed","COVID-19 High Frequency Phone Surveys 2020","HIES","https://microdata.worldbank.org/index.php/catalog/lsms",NA
"213","Argentina","ARG",2017,"completed","Livelihoods Programme Monitoring Beneficiary Survey in 2017","HIES","https://microdata.worldbank.org/index.php/catalog/lsms",NA
"214","Armenia","ARM",2020,"completed","COVID-19 High Frequency Survey of Households and Children 2020-2021, Waves 1 and 2","HIES","https://microdata.worldbank.org/index.php/catalog/lsms",NA
